BENCH: alexnet
TOP: 1
Layer, DPMeta time(s), DPMeta std(s), DPMeta trials, DPMeta Tuning(min), DPMeta+Meta tuning(min), Meta-1 time(s), Meta-1 std(s), trials-1, Meta 10k time(s), Meta 10k std(s), trials-10k, speedup-1, speedup-10k
9, 0.0000022708, 0.0000000006, 2, 0.02, 0.24, 0.0000022708, 0.0000000006, 6, 0.0000022708, 0.0000000006, 6, 1.00, 1.00
10, 0.0001941517, 0.0000007287, 18, 0.19, 7.60, 0.0001941517, 0.0000007287, 189, 0.0001854967, 0.0000002183, 1025, 1.00, 0.96
11, 0.0000902641, 0.0000000047, 18, 0.11, 7.53, 0.0000902641, 0.0000000047, 181, 0.0000864326, 0.0000000301, 326, 1.00, 0.96
12, 0.0000626623, 0.0000000016, 13, 0.08, 6.38, 0.0000626623, 0.0000000016, 170, 0.0000626623, 0.0000000016, 170, 1.00, 1.00
13, 0.0000022827, 0.0000000020, 12, 0.04, 1.70, 0.0000022827, 0.0000000020, 45, 0.0000022827, 0.0000000020, 45, 1.00, 1.00
TOP: 300
Layer, DPMeta time(s), DPMeta std(s), DPMeta trials, DPMeta Tuning(min), DPMeta+Meta tuning(min), Meta-300 time(s), Meta-300 std(s), trials-300, Meta 10k time(s), Meta 10k std(s), trials-10k, speedup-300, speedup-10k
0, 0.0000327020, 0.0000011447, 22, 0.21, 11.33, 0.0000327020, 0.0000011447, 111, 0.0000261827, 0.0000000231, 621, 1.00, 0.80
1, 0.0000022393, 0.0000000004, 7, 0.03, 0.88, 0.0000022393, 0.0000000004, 23, 0.0000022393, 0.0000000004, 23, 1.00, 1.00
2, 0.0000411302, 0.0000004827, 44, 1.02, 12.14, 0.0000580278, 0.0000005422, 150, 0.0000532323, 0.0000000782, 1245, 1.41, 1.29
3, 0.0000022373, 0.0000000006, 6, 0.03, 1.10, 0.0000022373, 0.0000000006, 29, 0.0000022373, 0.0000000006, 29, 1.00, 1.00
4, 0.0000288922, 0.0000000118, 28, 0.14, 11.26, 0.0000288922, 0.0000000118, 271, 0.0000241029, 0.0000000107, 645, 1.00, 0.83
5, 0.0000400722, 0.0000001622, 28, 0.13, 11.25, 0.0000400722, 0.0000001622, 201, 0.0000371399, 0.0000000026, 857, 1.00, 0.93
6, 0.0000221686, 0.0000000314, 25, 0.13, 7.76, 0.0000221686, 0.0000000314, 206, 0.0000221686, 0.0000000314, 206, 1.00, 1.00
7, 0.0000022376, 0.0000000007, 6, 0.03, 2.06, 0.0000022376, 0.0000000007, 55, 0.0000022376, 0.0000000007, 55, 1.00, 1.00
8, 0.0000044096, 0.0000000056, 7, 0.03, 2.40, 0.0000044096, 0.0000000056, 64, 0.0000044096, 0.0000000056, 64, 1.00, 1.00
9, 0.0000022708, 0.0000000006, 2, 0.02, 0.24, 0.0000022708, 0.0000000006, 6, 0.0000022708, 0.0000000006, 6, 1.00, 1.00
10, 0.0001932741, 0.0000006848, 18, 0.16, 11.28, 0.0001932741, 0.0000006848, 260, 0.0001854967, 0.0000002183, 1025, 1.00, 0.96
11, 0.0000902641, 0.0000000047, 18, 0.12, 11.24, 0.0000902641, 0.0000000047, 181, 0.0000864326, 0.0000000301, 326, 1.00, 0.96
12, 0.0000626623, 0.0000000016, 13, 0.08, 6.38, 0.0000626623, 0.0000000016, 170, 0.0000626623, 0.0000000016, 170, 1.00, 1.00
13, 0.0000022827, 0.0000000020, 12, 0.05, 1.71, 0.0000022827, 0.0000000020, 45, 0.0000022827, 0.0000000020, 45, 1.00, 1.00
TOP: 1000
Layer, DPMeta time(s), DPMeta std(s), DPMeta trials, DPMeta Tuning(min), DPMeta+Meta tuning(min), Meta-1000 time(s), Meta-1000 std(s), trials-1000, Meta 10k time(s), Meta 10k std(s), trials-10k, speedup-1000, speedup-10k
0, 0.0000232107, 0.0000002414, 76, 0.72, 23.73, 0.0000261827, 0.0000000231, 621, 0.0000261827, 0.0000000231, 621, 1.13, 1.13
1, 0.0000022393, 0.0000000004, 7, 0.03, 0.88, 0.0000022393, 0.0000000004, 23, 0.0000022393, 0.0000000004, 23, 1.00, 1.00
2, 0.0000371840, 0.0000002278, 57, 0.46, 37.52, 0.0000541677, 0.0000002000, 962, 0.0000532323, 0.0000000782, 1245, 1.46, 1.43
