BENCH: resnet50
TOP: 1
Layer, Droplet time(s), Droplet std(s), Droplet trials, Droplet Tuning(min), Meta-{top} time(s), Meta-{top} std(s), trials-{top}, Meta 10k time(s), Meta 10k std(s), trials-10k, speedup-{top}, speedup-10k
13, 0.00004940, 0.00000029, 96, 0.40, 0.00010340, 0.00000006, 6, 0.00004049, 0.00000012, 197, 2.09, 0.82
14, 0.00005501, 0.00000009, 93, 0.67, 0.00010582, 0.00000022, 8, 0.00003892, 0.00000002, 329, 1.92, 0.71
15, 0.00002529, 0.00000001, 40, 0.12, 0.00002529, 0.00000001, 6, 0.00001043, 0.00000004, 53, 1.00, 0.41
16, 0.00002951, 0.00000004, 37, 0.08, 0.00002951, 0.00000004, 10, 0.00002203, 0.00000002, 81, 1.00, 0.75
17, 0.00008350, 0.00000087, 82, 0.38, 0.00014065, 0.00000184, 7, 0.00004018, 0.00000002, 260, 1.68, 0.48
18, 0.00006556, 0.00000042, 100, 0.62, 0.00011744, 0.00000004, 5, 0.00003588, 0.00000002, 393, 1.79, 0.55
19, 0.00004726, 0.00000034, 99, 0.35, 0.00005471, 0.00000035, 4, 0.00001355, 0.00000005, 129, 1.16, 0.29
20, 0.00007933, 0.00000010, 100, 0.20, 0.00016691, 0.00000014, 8, 0.00006132, 0.00000003, 200, 2.10, 0.77
21, 0.00005320, 0.00000046, 100, 0.24, 0.00006776, 0.00000026, 7, 0.00001171, 0.00000002, 80, 1.27, 0.22
22, 0.00010615, 0.00000153, 99, 0.24, 0.00023707, 0.00000063, 1, 0.00008254, 0.00000035, 452, 2.23, 0.78
23, 0.00012555, 0.00000024, 100, 0.45, 0.00015498, 0.00000013, 4, 0.00007799, 0.00000008, 577, 1.23, 0.62
24, 0.00001516, 0.00000018, 61, 0.64, 0.00001567, 0.00000001, 8, 0.00000884, 0.00000001, 64, 1.03, 0.58
25, 0.00005464, 0.00000062, 100, 0.17, 0.00005720, 0.00000013, 4, 0.00003762, 0.00000008, 136, 1.05, 0.69
26, 0.00006569, 0.00000087, 100, 0.18, 0.00016256, 0.00000026, 8, 0.00005831, 0.00000029, 392, 2.47, 0.89
27, 0.00010816, 0.00000226, 100, 0.18, 0.00016737, 0.00000021, 3, 0.00005609, 0.00000033, 521, 1.55, 0.52
28, 0.00001403, 0.00000007, 40, 0.15, 0.00001403, 0.00000007, 3, 0.00000716, 0.00000001, 86, 1.00, 0.51
29, 0.00017522, 0.00000060, 72, 0.21, 0.00019112, 0.00000021, 2, 0.00011024, 0.00000034, 323, 1.09, 0.63
30, 0.00022776, 0.00000410, 91, 0.54, 0.00025992, 0.00000024, 10, 0.00014467, 0.00000066, 424, 1.14, 0.64
31, 0.00000255, 0.00000007, 76, 0.11, 0.00000353, 0.00000000, 3, 0.00000346, 0.00000001, 42, 1.39, 1.36
32, 0.00000025, 0.00000001, 14, 0.04, 0.00000667, 0.00000002, 1, 0.00000667, 0.00000002, 1, 27.00, 27.00
