BENCH: shufflenet
TOP: 1
Layer, DPMeta time(s), DPMeta std(s), DPMeta trials, DPMeta Tuning(min), DPMeta+Meta tuning(min), Meta-1 time(s), Meta-1 std(s), trials-1, Meta 10k time(s), Meta 10k std(s), trials-10k, speedup-1, speedup-10k
8, 0.0000188014, 0.0000000813, 16, 0.40, 0.51, 0.0000188014, 0.0000000813, 5, 0.0000188014, 0.0000000813, 5, 1.00, 1.00
9, 0.0000280551, 0.0000000081, 11, 0.14, 0.21, 0.0000280551, 0.0000000081, 3, 0.0000280551, 0.0000000081, 3, 1.00, 1.00
10, 0.0001023960, 0.0000004337, 100, 1.36, 2.69, 0.0001279260, 0.0000001881, 57, 0.0001279260, 0.0000001881, 57, 1.25, 1.25
11, 0.0000219349, 0.0000000207, 11, 0.14, 0.19, 0.0000219349, 0.0000000207, 2, 0.0000219349, 0.0000000207, 2, 1.00, 1.00
12, 0.0000221920, 0.0000014088, 11, 0.17, 0.22, 0.0000277888, 0.0000068514, 2, 0.0000277888, 0.0000068514, 2, 1.25, 1.25
13, 0.0001051777, 0.0000017081, 100, 1.71, 4.05, 0.0002792770, 0.0000002316, 80, 0.0001519179, 0.0000003338, 135, 2.66, 1.44
14, 0.0000207087, 0.0000000209, 11, 0.15, 0.17, 0.0000207087, 0.0000000209, 1, 0.0000207087, 0.0000000209, 1, 1.00, 1.00
15, 0.0006222025, 0.0000012982, 100, 2.14, 4.48, 0.0007128036, 0.0000006456, 68, 0.0002798070, 0.0000004527, 541, 1.15, 0.45
16, 0.0000143542, 0.0000000162, 11, 0.14, 0.19, 0.0000143542, 0.0000000162, 2, 0.0000143542, 0.0000000162, 2, 1.00, 1.00
17, 0.0002221438, 0.0000005966, 100, 1.89, 4.23, 0.0002659602, 0.0000029223, 70, 0.0001588110, 0.0000001035, 263, 1.20, 0.71
18, 0.0000263852, 0.0000005245, 11, 0.18, 0.22, 0.0000264685, 0.0000000752, 2, 0.0000264685, 0.0000000752, 2, 1.00, 1.00
19, 0.0006048768, 0.0000003338, 14, 0.64, 2.98, 0.0006048768, 0.0000003338, 83, 0.0004367769, 0.0000000966, 221, 1.00, 0.72
20, 0.0008076093, 0.0000080805, 100, 1.89, 4.23, 0.0012931093, 0.0000005957, 98, 0.0005602252, 0.0000006213, 209, 1.60, 0.69
21, 0.0000215487, 0.0000019177, 11, 0.15, 0.20, 0.0000250106, 0.0000063261, 2, 0.0000250106, 0.0000063261, 2, 1.16, 1.16
22, 0.0001388765, 0.0000007044, 96, 2.26, 4.60, 0.0002518977, 0.0000001567, 83, 0.0001521034, 0.0000397452, 184, 1.81, 1.10
23, 0.0000141052, 0.0000005846, 11, 0.13, 0.18, 0.0000271611, 0.0000001047, 2, 0.0000271611, 0.0000001047, 2, 1.93, 1.93
24, 0.0007290422, 0.0000004873, 91, 1.94, 4.28, 0.0007896215, 0.0000031101, 90, 0.0003273761, 0.0000005579, 503, 1.08, 0.45
25, 0.0000141502, 0.0000003804, 11, 0.14, 0.18, 0.0000142131, 0.0000000122, 2, 0.0000142131, 0.0000000122, 2, 1.00, 1.00
26, 0.0001455880, 0.0000007519, 97, 2.05, 4.39, 0.0001516009, 0.0000002233, 95, 0.0001181779, 0.0000001775, 130, 1.04, 0.81
27, 0.0000189373, 0.0000000331, 11, 0.19, 0.22, 0.0000189373, 0.0000000331, 1, 0.0000189373, 0.0000000331, 1, 1.00, 1.00
28, 0.0003174647, 0.0000019870, 98, 2.40, 4.55, 0.0003343190, 0.0000007112, 92, 0.0003343190, 0.0000007112, 92, 1.05, 1.05
29, 0.0013017708, 0.0000013185, 100, 2.43, 4.77, 0.0015668250, 0.0000263131, 95, 0.0011005366, 0.0000009862, 210, 1.20, 0.85
30, 0.0000126278, 0.0000000653, 11, 0.13, 0.16, 0.0000126278, 0.0000000653, 1, 0.0000126278, 0.0000000653, 1, 1.00, 1.00
31, 0.0000159170, 0.0000011910, 11, 0.14, 0.21, 0.0000289510, 0.0000038514, 3, 0.0000289510, 0.0000038514, 3, 1.82, 1.82
32, 0.0001784183, 0.0000003255, 99, 1.44, 3.78, 0.0001824351, 0.0000003291, 67, 0.0001040667, 0.0000000964, 835, 1.02, 0.58
33, 0.0000128299, 0.0000000443, 11, 0.14, 0.23, 0.0000128299, 0.0000000443, 4, 0.0000128299, 0.0000000443, 4, 1.00, 1.00
34, 0.0004277440, 0.0000006840, 100, 2.20, 4.54, 0.0008297877, 0.0000004742, 90, 0.0002963549, 0.0000005388, 1401, 1.94, 0.69
35, 0.0000120195, 0.0000000333, 11, 0.13, 0.16, 0.0000120195, 0.0000000333, 1, 0.0000120195, 0.0000000333, 1, 1.00, 1.00
