BENCH: alexnet
TOP: 1
Layer, Droplet time(s), Droplet std(s), Droplet trials, Droplet Tuning(min), Meta-{top} time(s), Meta-{top} std(s), trials-{top}, Meta 10k time(s), Meta 10k std(s), trials-10k, speedup-{top}, speedup-10k
19, 0.00375373, 0.00003328, 100, 0.94, 0.00383970, 0.00000273, 167, 0.00341606, 0.00000167, 669, 1.02, 0.91
20, 0.00000374, 0.00000001, 24, 0.07, 0.00000374, 0.00000001, 5, 0.00000374, 0.00000001, 5, 1.00, 1.00
21, 0.00000244, 0.00000004, 41, 0.13, 0.00000334, 0.00000001, 17, 0.00000334, 0.00000001, 17, 1.37, 1.37
22, 0.00000750, 0.00000002, 10, 0.02, 0.00000750, 0.00000002, 1, 0.00000750, 0.00000002, 1, 1.00, 1.00
23, 0.01143792, 0.00000688, 1, 0.74, 0.01143792, 0.00000688, 104, 0.01142182, 0.00000368, 815, 1.00, 1.00
24, 0.00157382, 0.00000016, 1, 0.18, 0.00157382, 0.00000016, 168, 0.00157382, 0.00000016, 168, 1.00, 1.00
25, 0.00005016, 0.00000002, 1, 0.08, 0.00005016, 0.00000002, 19, 0.00005016, 0.00000002, 19, 1.00, 1.00
26, 0.00000777, 0.00000002, 37, 0.05, 0.00000777, 0.00000002, 13, 0.00000777, 0.00000002, 13, 1.00, 1.00
TOP: 300
Layer, Droplet time(s), Droplet std(s), Droplet trials, Droplet Tuning(min), Meta-{top} time(s), Meta-{top} std(s), trials-{top}, Meta 10k time(s), Meta 10k std(s), trials-10k, speedup-{top}, speedup-10k
0, 0.00000678, 0.00000001, 10, 0.02, 0.00000678, 0.00000001, 1, 0.00000678, 0.00000001, 1, 1.00, 1.00
1, 0.00069950, 0.00000835, 75, 0.43, 0.00074202, 0.00000109, 111, 0.00074202, 0.00000109, 111, 1.06, 1.06
2, 0.00007529, 0.00001796, 14, 0.05, 0.00014861, 0.00000018, 2, 0.00014861, 0.00000018, 2, 1.97, 1.97
3, 0.01373635, 0.00003607, 74, 1.23, 0.01398333, 0.00003857, 269, 0.01222441, 0.00003078, 1026, 1.02, 0.89
4, 0.00003215, 0.00000002, 16, 0.04, 0.00003215, 0.00000002, 27, 0.00003215, 0.00000002, 27, 1.00, 1.00
5, 0.00665292, 0.00002324, 100, 0.92, 0.00674377, 0.00000290, 115, 0.00674377, 0.00000290, 115, 1.01, 1.01
6, 0.01460962, 0.00002753, 73, 1.09, 0.01467168, 0.00000367, 294, 0.01339986, 0.00000362, 1350, 1.00, 0.92
7, 0.00001676, 0.00000008, 16, 0.05, 0.00001676, 0.00000008, 18, 0.00001676, 0.00000008, 18, 1.00, 1.00
8, 0.00000846, 0.00000000, 10, 0.02, 0.00000846, 0.00000000, 2, 0.00000846, 0.00000000, 2, 1.00, 1.00
9, 0.00709348, 0.00000766, 77, 1.02, 0.00711563, 0.00001152, 257, 0.00693513, 0.00000138, 698, 1.00, 0.98
10, 0.00006540, 0.00000034, 14, 0.04, 0.00006751, 0.00000013, 2, 0.00006751, 0.00000013, 2, 1.03, 1.03
11, 0.01423736, 0.00002706, 87, 0.86, 0.01434702, 0.00001888, 258, 0.01339213, 0.00000273, 1359, 1.01, 0.94
12, 0.00000818, 0.00000013, 16, 0.04, 0.00000818, 0.00000013, 17, 0.00000818, 0.00000013, 17, 1.00, 1.00
13, 0.00001877, 0.00000000, 10, 0.02, 0.00001877, 0.00000000, 2, 0.00001877, 0.00000000, 2, 1.00, 1.00
