BENCH: alexnet
TOP: 1
Layer, Droplet time(s), Droplet std(s), Droplet trials, Droplet Tuning(min), Meta-{top} time(s), Meta-{top} std(s), trials-{top}, Meta 10k time(s), Meta 10k std(s), trials-10k, speedup-{top}, speedup-10k
3, 0.00963030, 0.00000724, 77, 0.52, 0.00993600, 0.00043573, 8, 0.00631379, 0.00002358, 940, 1.03, 0.66
4, 0.00001672, 0.00000001, 16, 0.05, 0.00001672, 0.00000001, 37, 0.00001672, 0.00000001, 37, 1.00, 1.00
5, 0.00000833, 0.00000001, 10, 0.02, 0.00000833, 0.00000001, 1, 0.00000833, 0.00000001, 1, 1.00, 1.00
6, 0.00782553, 0.00001446, 67, 0.73, 0.00828392, 0.00031950, 20, 0.00605972, 0.00000305, 789, 1.06, 0.77
7, 0.00006573, 0.00000119, 10, 0.03, 0.00006787, 0.00000008, 1, 0.00006787, 0.00000008, 1, 1.03, 1.03
8, 0.01843723, 0.00006938, 100, 1.59, 0.01926843, 0.00127275, 26, 0.01219016, 0.00000414, 1042, 1.05, 0.66
9, 0.00000785, 0.00000001, 16, 0.04, 0.00000785, 0.00000001, 43, 0.00000785, 0.00000001, 43, 1.00, 1.00
10, 0.00001854, 0.00000038, 17, 0.06, 0.00001919, 0.00000100, 2, 0.00001919, 0.00000100, 2, 1.03, 1.03
11, 0.00892810, 0.00000261, 80, 1.46, 0.00967461, 0.00001918, 3, 0.00619687, 0.00000448, 704, 1.08, 0.69
12, 0.00003409, 0.00000023, 14, 0.04, 0.00003447, 0.00000007, 2, 0.00003447, 0.00000007, 2, 1.01, 1.01
13, 0.01726606, 0.00001878, 73, 0.94, 0.01803791, 0.00059939, 17, 0.01236692, 0.00000163, 1753, 1.04, 0.72
14, 0.00000540, 0.00000004, 16, 0.18, 0.00000540, 0.00000004, 1, 0.00000540, 0.00000004, 1, 1.00, 1.00
15, 0.00001242, 0.00000001, 11, 0.03, 0.00001242, 0.00000001, 2, 0.00001242, 0.00000001, 2, 1.00, 1.00
16, 0.00470887, 0.00004596, 100, 0.82, 0.00513127, 0.00000809, 32, 0.00314639, 0.00000040, 579, 1.09, 0.67
17, 0.00000390, 0.00000000, 16, 0.06, 0.00000390, 0.00000000, 22, 0.00000390, 0.00000000, 22, 1.00, 1.00
18, 0.00000246, 0.00000002, 48, 0.12, 0.00000350, 0.00000001, 12, 0.00000350, 0.00000001, 12, 1.43, 1.43
19, 0.00000793, 0.00000000, 10, 0.02, 0.00000793, 0.00000000, 1, 0.00000793, 0.00000000, 1, 1.00, 1.00
20, 0.01147526, 0.00000342, 1, 0.94, 0.01147526, 0.00000342, 16, 0.01141526, 0.00000371, 1081, 1.00, 0.99
21, 0.00158389, 0.00000340, 1, 0.24, 0.00158389, 0.00000340, 23, 0.00158389, 0.00000340, 23, 1.00, 1.00
22, 0.00004390, 0.00000009, 1, 0.08, 0.00004390, 0.00000009, 42, 0.00004302, 0.00000180, 60, 1.00, 0.98
23, 0.00000469, 0.00000002, 100, 0.16, 0.00000753, 0.00000002, 1, 0.00000753, 0.00000002, 1, 1.61, 1.61
TOP: 100
Layer, Droplet time(s), Droplet std(s), Droplet trials, Droplet Tuning(min), Meta-{top} time(s), Meta-{top} std(s), trials-{top}, Meta 10k time(s), Meta 10k std(s), trials-10k, speedup-{top}, speedup-10k
0, 0.00000700, 0.00000025, 14, 0.04, 0.00000706, 0.00000036, 1, 0.00000706, 0.00000036, 1, 1.01, 1.01
1, 0.00071292, 0.00001827, 75, 0.30, 0.00076199, 0.00000043, 96, 0.00073333, 0.00000105, 125, 1.07, 1.03
2, 0.00003126, 0.00000088, 27, 0.08, 0.00003215, 0.00000000, 4, 0.00003215, 0.00000000, 4, 1.03, 1.03
3, 0.00741280, 0.00001371, 88, 1.09, 0.00762723, 0.00001160, 100, 0.00631379, 0.00002358, 940, 1.03, 0.85
4, 0.00001672, 0.00000001, 16, 0.05, 0.00001672, 0.00000001, 37, 0.00001672, 0.00000001, 37, 1.00, 1.00
5, 0.00000833, 0.00000001, 10, 0.03, 0.00000833, 0.00000001, 1, 0.00000833, 0.00000001, 1, 1.00, 1.00
6, 0.00783362, 0.00001606, 72, 0.45, 0.00818364, 0.00035849, 82, 0.00605972, 0.00000305, 789, 1.04, 0.77
7, 0.00006516, 0.00000033, 17, 0.06, 0.00006787, 0.00000008, 1, 0.00006787, 0.00000008, 1, 1.04, 1.04
8, 0.01504990, 0.00000092, 72, 0.63, 0.01510626, 0.00001309, 90, 0.01219016, 0.00000414, 1042, 1.00, 0.81
9, 0.00000785, 0.00000001, 16, 0.04, 0.00000785, 0.00000001, 43, 0.00000785, 0.00000001, 43, 1.00, 1.00
10, 0.00001908, 0.00000054, 10, 0.02, 0.00001919, 0.00000100, 2, 0.00001919, 0.00000100, 2, 1.01, 1.01
11, 0.00753171, 0.00001122, 40, 0.26, 0.00753171, 0.00001122, 90, 0.00619687, 0.00000448, 704, 1.00, 0.82
12, 0.00003447, 0.00000007, 10, 0.02, 0.00003447, 0.00000007, 2, 0.00003447, 0.00000007, 2, 1.00, 1.00
13, 0.01653948, 0.00001260, 57, 1.20, 0.01682153, 0.00001184, 82, 0.01236692, 0.00000163, 1753, 1.02, 0.75
14, 0.00000540, 0.00000004, 16, 0.19, 0.00000540, 0.00000004, 1, 0.00000540, 0.00000004, 1, 1.00, 1.00
15, 0.00001242, 0.00000001, 11, 0.03, 0.00001242, 0.00000001, 2, 0.00001242, 0.00000001, 2, 1.00, 1.00
16, 0.00438694, 0.00001477, 74, 0.80, 0.00439689, 0.00000186, 100, 0.00314639, 0.00000040, 579, 1.00, 0.72
17, 0.00000390, 0.00000000, 16, 0.06, 0.00000390, 0.00000000, 22, 0.00000390, 0.00000000, 22, 1.00, 1.00
18, 0.00000245, 0.00000002, 38, 0.10, 0.00000350, 0.00000001, 12, 0.00000350, 0.00000001, 12, 1.43, 1.43
19, 0.00000793, 0.00000000, 10, 0.02, 0.00000793, 0.00000000, 1, 0.00000793, 0.00000000, 1, 1.00, 1.00
20, 0.01144774, 0.00000220, 1, 1.03, 0.01144774, 0.00000220, 86, 0.01141526, 0.00000371, 1081, 1.00, 1.00
21, 0.00158389, 0.00000340, 1, 0.24, 0.00158389, 0.00000340, 23, 0.00158389, 0.00000340, 23, 1.00, 1.00
22, 0.00004302, 0.00000180, 1, 0.08, 0.00004302, 0.00000180, 60, 0.00004302, 0.00000180, 60, 1.00, 1.00
23, 0.00000470, 0.00000002, 100, 0.16, 0.00000753, 0.00000002, 1, 0.00000753, 0.00000002, 1, 1.60, 1.60
TOP: 200
Layer, Droplet time(s), Droplet std(s), Droplet trials, Droplet Tuning(min), Meta-{top} time(s), Meta-{top} std(s), trials-{top}, Meta 10k time(s), Meta 10k std(s), trials-10k, speedup-{top}, speedup-10k
0, 0.00000706, 0.00000036, 10, 0.02, 0.00000706, 0.00000036, 1, 0.00000706, 0.00000036, 1, 1.00, 1.00
1, 0.00064810, 0.00000683, 100, 0.47, 0.00073333, 0.00000105, 125, 0.00073333, 0.00000105, 125, 1.13, 1.13
2, 0.00003215, 0.00000000, 16, 0.04, 0.00003215, 0.00000000, 4, 0.00003215, 0.00000000, 4, 1.00, 1.00
3, 0.00722308, 0.00003298, 96, 1.31, 0.00735046, 0.00000873, 200, 0.00631379, 0.00002358, 940, 1.02, 0.87
4, 0.00001672, 0.00000001, 16, 0.06, 0.00001672, 0.00000001, 37, 0.00001672, 0.00000001, 37, 1.00, 1.00
5, 0.00000833, 0.00000001, 10, 0.02, 0.00000833, 0.00000001, 1, 0.00000833, 0.00000001, 1, 1.00, 1.00
6, 0.00701467, 0.00000152, 40, 0.20, 0.00701467, 0.00000152, 197, 0.00605972, 0.00000305, 789, 1.00, 0.86
7, 0.00006577, 0.00000101, 10, 0.03, 0.00006787, 0.00000008, 1, 0.00006787, 0.00000008, 1, 1.03, 1.03
8, 0.01471871, 0.00002672, 72, 0.64, 0.01482804, 0.00000220, 173, 0.01219016, 0.00000414, 1042, 1.01, 0.83
9, 0.00000785, 0.00000001, 16, 0.04, 0.00000785, 0.00000001, 43, 0.00000785, 0.00000001, 43, 1.00, 1.00
10, 0.00001884, 0.00000059, 17, 0.06, 0.00001919, 0.00000100, 2, 0.00001919, 0.00000100, 2, 1.02, 1.02
11, 0.00634706, 0.00001988, 74, 0.41, 0.00638414, 0.00000130, 195, 0.00619687, 0.00000448, 704, 1.01, 0.98
12, 0.00003440, 0.00000038, 14, 0.04, 0.00003447, 0.00000007, 2, 0.00003447, 0.00000007, 2, 1.00, 1.00
13, 0.01463978, 0.00001804, 39, 0.38, 0.01463978, 0.00001804, 193, 0.01236692, 0.00000163, 1753, 1.00, 0.84
14, 0.00000540, 0.00000004, 16, 0.18, 0.00000540, 0.00000004, 1, 0.00000540, 0.00000004, 1, 1.00, 1.00
15, 0.00001242, 0.00000001, 11, 0.03, 0.00001242, 0.00000001, 2, 0.00001242, 0.00000001, 2, 1.00, 1.00
16, 0.00337135, 0.00002057, 81, 0.40, 0.00337776, 0.00000431, 197, 0.00314639, 0.00000040, 579, 1.00, 0.93
17, 0.00000390, 0.00000000, 16, 0.06, 0.00000390, 0.00000000, 22, 0.00000390, 0.00000000, 22, 1.00, 1.00
18, 0.00000243, 0.00000004, 34, 0.09, 0.00000350, 0.00000001, 12, 0.00000350, 0.00000001, 12, 1.44, 1.44
19, 0.00000793, 0.00000000, 10, 0.02, 0.00000793, 0.00000000, 1, 0.00000793, 0.00000000, 1, 1.00, 1.00
20, 0.01144505, 0.00000456, 1, 0.78, 0.01144505, 0.00000456, 172, 0.01141526, 0.00000371, 1081, 1.00, 1.00
21, 0.00158389, 0.00000340, 1, 0.22, 0.00158389, 0.00000340, 23, 0.00158389, 0.00000340, 23, 1.00, 1.00
22, 0.00004302, 0.00000180, 1, 0.08, 0.00004302, 0.00000180, 60, 0.00004302, 0.00000180, 60, 1.00, 1.00
23, 0.00000474, 0.00000001, 75, 0.11, 0.00000753, 0.00000002, 1, 0.00000753, 0.00000002, 1, 1.59, 1.59
TOP: 300
Layer, Droplet time(s), Droplet std(s), Droplet trials, Droplet Tuning(min), Meta-{top} time(s), Meta-{top} std(s), trials-{top}, Meta 10k time(s), Meta 10k std(s), trials-10k, speedup-{top}, speedup-10k
0, 0.00000706, 0.00000036, 10, 0.02, 0.00000706, 0.00000036, 1, 0.00000706, 0.00000036, 1, 1.00, 1.00
1, 0.00065042, 0.00000391, 76, 0.32, 0.00073333, 0.00000105, 125, 0.00073333, 0.00000105, 125, 1.13, 1.13
2, 0.00003195, 0.00000097, 24, 0.08, 0.00003215, 0.00000000, 4, 0.00003215, 0.00000000, 4, 1.01, 1.01
3, 0.00731450, 0.00000308, 40, 0.21, 0.00731450, 0.00000308, 281, 0.00631379, 0.00002358, 940, 1.00, 0.86
4, 0.00001672, 0.00000001, 15, 0.04, 0.00001672, 0.00000001, 37, 0.00001672, 0.00000001, 37, 1.00, 1.00
5, 0.00000833, 0.00000001, 10, 0.02, 0.00000833, 0.00000001, 1, 0.00000833, 0.00000001, 1, 1.00, 1.00
6, 0.00686807, 0.00000651, 100, 0.70, 0.00687842, 0.00000190, 289, 0.00605972, 0.00000305, 789, 1.00, 0.88
7, 0.00006472, 0.00000036, 10, 0.03, 0.00006787, 0.00000008, 1, 0.00006787, 0.00000008, 1, 1.05, 1.05
8, 0.01383363, 0.00002459, 100, 1.18, 0.01427345, 0.00061008, 279, 0.01219016, 0.00000414, 1042, 1.03, 0.88
9, 0.00000785, 0.00000001, 16, 0.04, 0.00000785, 0.00000001, 43, 0.00000785, 0.00000001, 43, 1.00, 1.00
10, 0.00001882, 0.00000036, 14, 0.04, 0.00001919, 0.00000100, 2, 0.00001919, 0.00000100, 2, 1.02, 1.02
11, 0.00625208, 0.00001961, 72, 0.40, 0.00629891, 0.00000373, 277, 0.00619687, 0.00000448, 704, 1.01, 0.99
12, 0.00003419, 0.00000022, 14, 0.04, 0.00003447, 0.00000007, 2, 0.00003447, 0.00000007, 2, 1.01, 1.01
13, 0.01418045, 0.00002176, 40, 0.39, 0.01418045, 0.00002176, 277, 0.01236692, 0.00000163, 1753, 1.00, 0.87
14, 0.00000540, 0.00000004, 16, 0.18, 0.00000540, 0.00000004, 1, 0.00000540, 0.00000004, 1, 1.00, 1.00
15, 0.00001242, 0.00000001, 11, 0.02, 0.00001242, 0.00000001, 2, 0.00001242, 0.00000001, 2, 1.00, 1.00
16, 0.00330712, 0.00001329, 80, 0.37, 0.00337776, 0.00000431, 197, 0.00314639, 0.00000040, 579, 1.02, 0.95
17, 0.00000390, 0.00000000, 16, 0.06, 0.00000390, 0.00000000, 22, 0.00000390, 0.00000000, 22, 1.00, 1.00
18, 0.00000244, 0.00000003, 34, 0.09, 0.00000350, 0.00000001, 12, 0.00000350, 0.00000001, 12, 1.44, 1.44
19, 0.00000793, 0.00000000, 10, 0.02, 0.00000793, 0.00000000, 1, 0.00000793, 0.00000000, 1, 1.00, 1.00
20, 0.01143992, 0.00000113, 1, 0.83, 0.01143992, 0.00000113, 215, 0.01141526, 0.00000371, 1081, 1.00, 1.00
21, 0.00158389, 0.00000340, 1, 0.21, 0.00158389, 0.00000340, 23, 0.00158389, 0.00000340, 23, 1.00, 1.00
22, 0.00004302, 0.00000180, 1, 0.08, 0.00004302, 0.00000180, 60, 0.00004302, 0.00000180, 60, 1.00, 1.00
23, 0.00000470, 0.00000001, 72, 0.11, 0.00000753, 0.00000002, 1, 0.00000753, 0.00000002, 1, 1.60, 1.60
TOP: 1000
Layer, Droplet time(s), Droplet std(s), Droplet trials, Droplet Tuning(min), Meta-{top} time(s), Meta-{top} std(s), trials-{top}, Meta 10k time(s), Meta 10k std(s), trials-10k, speedup-{top}, speedup-10k
0, 0.00000706, 0.00000036, 10, 0.02, 0.00000706, 0.00000036, 1, 0.00000706, 0.00000036, 1, 1.00, 1.00
1, 0.00065350, 0.00000395, 74, 0.33, 0.00073333, 0.00000105, 125, 0.00073333, 0.00000105, 125, 1.12, 1.12
2, 0.00003071, 0.00000081, 34, 0.11, 0.00003215, 0.00000000, 4, 0.00003215, 0.00000000, 4, 1.05, 1.05
3, 0.00629105, 0.00000591, 100, 0.51, 0.00631379, 0.00002358, 940, 0.00631379, 0.00002358, 940, 1.00, 1.00
4, 0.00001672, 0.00000001, 16, 0.05, 0.00001672, 0.00000001, 37, 0.00001672, 0.00000001, 37, 1.00, 1.00
5, 0.00000833, 0.00000001, 10, 0.02, 0.00000833, 0.00000001, 1, 0.00000833, 0.00000001, 1, 1.00, 1.00
6, 0.00597936, 0.00000325, 74, 0.54, 0.00605972, 0.00000305, 789, 0.00605972, 0.00000305, 789, 1.01, 1.01
7, 0.00006588, 0.00000032, 14, 0.04, 0.00006787, 0.00000008, 1, 0.00006787, 0.00000008, 1, 1.03, 1.03
8, 0.01223062, 0.00000494, 40, 0.32, 0.01223062, 0.00000494, 786, 0.01219016, 0.00000414, 1042, 1.00, 1.00
9, 0.00000785, 0.00000001, 16, 0.04, 0.00000785, 0.00000001, 43, 0.00000785, 0.00000001, 43, 1.00, 1.00
10, 0.00001877, 0.00000027, 10, 0.02, 0.00001919, 0.00000100, 2, 0.00001919, 0.00000100, 2, 1.02, 1.02
11, 0.00619687, 0.00000448, 40, 0.26, 0.00619687, 0.00000448, 704, 0.00619687, 0.00000448, 704, 1.00, 1.00
12, 0.00003432, 0.00000033, 14, 0.04, 0.00003447, 0.00000007, 2, 0.00003447, 0.00000007, 2, 1.00, 1.00
13, 0.01271171, 0.00001848, 74, 0.90, 0.01280189, 0.00000320, 1000, 0.01236692, 0.00000163, 1753, 1.01, 0.97
14, 0.00000540, 0.00000004, 16, 0.18, 0.00000540, 0.00000004, 1, 0.00000540, 0.00000004, 1, 1.00, 1.00
15, 0.00001242, 0.00000001, 11, 0.03, 0.00001242, 0.00000001, 2, 0.00001242, 0.00000001, 2, 1.00, 1.00
16, 0.00311389, 0.00004327, 100, 0.54, 0.00314639, 0.00000040, 579, 0.00314639, 0.00000040, 579, 1.01, 1.01
17, 0.00000390, 0.00000000, 16, 0.06, 0.00000390, 0.00000000, 22, 0.00000390, 0.00000000, 22, 1.00, 1.00
18, 0.00000245, 0.00000003, 45, 0.16, 0.00000350, 0.00000001, 12, 0.00000350, 0.00000001, 12, 1.43, 1.43
19, 0.00000793, 0.00000000, 10, 0.02, 0.00000793, 0.00000000, 1, 0.00000793, 0.00000000, 1, 1.00, 1.00
20, 0.01143011, 0.00000946, 1, 0.76, 0.01143011, 0.00000946, 823, 0.01141526, 0.00000371, 1081, 1.00, 1.00
21, 0.00158389, 0.00000340, 1, 0.23, 0.00158389, 0.00000340, 23, 0.00158389, 0.00000340, 23, 1.00, 1.00
22, 0.00004302, 0.00000180, 1, 0.08, 0.00004302, 0.00000180, 60, 0.00004302, 0.00000180, 60, 1.00, 1.00
23, 0.00000476, 0.00000000, 100, 0.15, 0.00000753, 0.00000002, 1, 0.00000753, 0.00000002, 1, 1.58, 1.58
BENCH: resnet18
TOP: 1
Layer, Droplet time(s), Droplet std(s), Droplet trials, Droplet Tuning(min), Meta-{top} time(s), Meta-{top} std(s), trials-{top}, Meta 10k time(s), Meta 10k std(s), trials-10k, speedup-{top}, speedup-10k
0, 0.00022849, 0.00000531, 73, 0.17, 0.00030202, 0.00000035, 1, 0.00006431, 0.00000012, 35, 1.32, 0.28
1, 0.00000979, 0.00000001, 11, 0.02, 0.00000979, 0.00000001, 1, 0.00000922, 0.00000000, 2, 1.00, 0.94
2, 0.00015698, 0.00000118, 100, 0.18, 0.00020986, 0.00001409, 1, 0.00006803, 0.00000004, 33, 1.34, 0.43
3, 0.00000880, 0.00000110, 16, 0.04, 0.00000963, 0.00000003, 1, 0.00000574, 0.00000001, 2, 1.09, 0.65
4, 0.00012255, 0.00000158, 81, 0.80, 0.00023111, 0.00000059, 1, 0.00006413, 0.00000019, 48, 1.89, 0.52
5, 0.00000681, 0.00000002, 10, 0.03, 0.00000681, 0.00000002, 1, 0.00000681, 0.00000002, 1, 1.00, 1.00
6, 0.00297814, 0.00003370, 100, 0.54, 0.00534314, 0.00021310, 1, 0.00085022, 0.00000113, 627, 1.79, 0.29
7, 0.00014271, 0.00000083, 59, 0.12, 0.00030962, 0.00000061, 1, 0.00001735, 0.00000003, 58, 2.17, 0.12
8, 0.01682258, 0.00003062, 100, 0.69, 0.01713201, 0.00005414, 1, 0.00076894, 0.00000102, 769, 1.02, 0.05
9, 0.00001572, 0.00000002, 11, 0.03, 0.00001572, 0.00000002, 1, 0.00001373, 0.00000068, 2, 1.00, 0.87
10, 0.00132528, 0.00003489, 100, 0.42, 0.00551946, 0.00010259, 1, 0.00077328, 0.00000065, 964, 4.16, 0.58
11, 0.00131805, 0.00002889, 96, 0.69, 0.00143058, 0.00008653, 1, 0.00042626, 0.00000028, 292, 1.09, 0.32
12, 0.00001146, 0.00000001, 11, 0.02, 0.00001146, 0.00000001, 1, 0.00001111, 0.00000004, 2, 1.00, 0.97
13, 0.00579781, 0.00003221, 71, 0.77, 0.01352094, 0.00003838, 1, 0.00079615, 0.00000022, 451, 2.33, 0.14
14, 0.00001182, 0.00000051, 11, 0.02, 0.00001226, 0.00000081, 1, 0.00001111, 0.00000002, 2, 1.04, 0.94
15, 0.00117857, 0.00004801, 100, 0.51, 0.00332824, 0.00002275, 1, 0.00077746, 0.00000126, 1119, 2.82, 0.66
16, 0.00000501, 0.00000026, 10, 0.02, 0.00000501, 0.00000026, 1, 0.00000445, 0.00000001, 2, 1.00, 0.89
17, 0.00361154, 0.00000766, 100, 0.56, 0.02044939, 0.00002969, 1, 0.00043831, 0.00000028, 259, 5.66, 0.12
18, 0.00000765, 0.00000001, 11, 0.02, 0.00000765, 0.00000001, 1, 0.00000765, 0.00000001, 1, 1.00, 1.00
19, 0.00139204, 0.00003824, 73, 0.43, 0.00156147, 0.00010850, 1, 0.00083539, 0.00000093, 514, 1.12, 0.60
20, 0.00000783, 0.00000072, 10, 0.03, 0.00000783, 0.00000072, 1, 0.00000762, 0.00000013, 2, 1.00, 0.97
21, 0.01286390, 0.00004137, 100, 1.09, 0.01347403, 0.00002753, 1, 0.00083308, 0.00000026, 865, 1.05, 0.06
22, 0.00000408, 0.00000022, 10, 0.02, 0.00000408, 0.00000022, 1, 0.00000386, 0.00000001, 2, 1.00, 0.94
23, 0.00068608, 0.00001509, 100, 0.62, 0.00075962, 0.00000180, 1, 0.00045454, 0.00000045, 290, 1.11, 0.66
24, 0.00146952, 0.00002313, 100, 0.36, 0.00158560, 0.00010215, 1, 0.00079554, 0.00000066, 577, 1.08, 0.54
25, 0.00000667, 0.00000012, 19, 0.06, 0.00000790, 0.00000039, 1, 0.00000554, 0.00000001, 2, 1.18, 0.83
26, 0.00135458, 0.00001874, 79, 0.45, 0.00137210, 0.00000260, 1, 0.00079081, 0.00000109, 1200, 1.01, 0.58
27, 0.00000246, 0.00000005, 70, 0.10, 0.00001070, 0.00000002, 1, 0.00000329, 0.00000000, 53, 4.34, 1.33
28, 0.00000016, 0.00000002, 14, 0.04, 0.00000626, 0.00000002, 1, 0.00000626, 0.00000002, 1, 38.23, 38.23
29, 0.00005525, 0.00000028, 1, 0.08, 0.00005525, 0.00000028, 1, 0.00000983, 0.00000001, 29, 1.00, 0.18
30, 0.00000472, 0.00000005, 89, 0.16, 0.00001041, 0.00000002, 1, 0.00000731, 0.00000003, 53, 2.21, 1.55
TOP: 10
Layer, Droplet time(s), Droplet std(s), Droplet trials, Droplet Tuning(min), Meta-{top} time(s), Meta-{top} std(s), trials-{top}, Meta 10k time(s), Meta 10k std(s), trials-10k, speedup-{top}, speedup-10k
0, 0.00009217, 0.00000051, 97, 0.45, 0.00010304, 0.00000635, 8, 0.00006431, 0.00000012, 35, 1.12, 0.70
1, 0.00000922, 0.00000000, 10, 0.02, 0.00000922, 0.00000000, 2, 0.00000922, 0.00000000, 2, 1.00, 1.00
2, 0.00008545, 0.00000024, 100, 0.26, 0.00011712, 0.00000050, 9, 0.00006803, 0.00000004, 33, 1.37, 0.80
3, 0.00000574, 0.00000001, 10, 0.02, 0.00000574, 0.00000001, 2, 0.00000574, 0.00000001, 2, 1.00, 1.00
4, 0.00006685, 0.00000015, 83, 0.23, 0.00007689, 0.00000003, 8, 0.00006413, 0.00000019, 48, 1.15, 0.96
5, 0.00000681, 0.00000002, 10, 0.02, 0.00000681, 0.00000002, 1, 0.00000681, 0.00000002, 1, 1.00, 1.00
6, 0.00104247, 0.00000978, 100, 0.44, 0.00108910, 0.00000222, 10, 0.00085022, 0.00000113, 627, 1.04, 0.82
7, 0.00009291, 0.00000066, 70, 0.18, 0.00010009, 0.00000467, 7, 0.00001735, 0.00000003, 58, 1.08, 0.19
8, 0.00107622, 0.00000435, 74, 0.34, 0.00128038, 0.00023120, 5, 0.00076894, 0.00000102, 769, 1.19, 0.71
