BENCH: alexnet
TOP: 1
Layer, DPMeta time(s), DPMeta std(s), DPMeta trials, DPMeta Tuning(min), DPMeta+Meta tuning(min), Meta-1 time(s), Meta-1 std(s), trials-1, Meta 10k time(s), Meta 10k std(s), trials-10k, speedup-1, speedup-10k
6, 0.0007305548, 0.0000003865, 94, 2.07, 4.09, 0.0008207001, 0.0000004047, 40, 0.0002042228, 0.0000002152, 645, 1.12, 0.28
7, 0.0000194333, 0.0000012089, 16, 0.25, 1.38, 0.0000195375, 0.0000000067, 28, 0.0000195375, 0.0000000067, 28, 1.01, 1.01
8, 0.0005200778, 0.0000002193, 91, 2.27, 4.29, 0.0009803917, 0.0000002921, 22, 0.0002179982, 0.0000004541, 902, 1.89, 0.42
9, 0.0000229102, 0.0000002702, 11, 0.14, 0.18, 0.0000687889, 0.0000019545, 1, 0.0000687889, 0.0000019545, 1, 3.00, 3.00
10, 0.0007690668, 0.0000008345, 100, 2.15, 4.17, 0.0010380491, 0.0000006314, 17, 0.0002145986, 0.0000001080, 833, 1.35, 0.28
11, 0.0005592883, 0.0000006501, 96, 2.01, 4.03, 0.0006580818, 0.0000013220, 22, 0.0001953302, 0.0000004341, 402, 1.18, 0.35
12, 0.0000135990, 0.0000000172, 11, 0.13, 0.21, 0.0000135990, 0.0000000172, 2, 0.0000135990, 0.0000000172, 2, 1.00, 1.00
13, 0.0007780933, 0.0000008900, 95, 1.75, 3.77, 0.0007873914, 0.0000005550, 41, 0.0002100534, 0.0000001183, 468, 1.01, 0.27
14, 0.0000133083, 0.0000000127, 11, 0.13, 0.21, 0.0000133083, 0.0000000127, 2, 0.0000133083, 0.0000000127, 2, 1.00, 1.00
15, 0.0008703978, 0.0000008009, 100, 2.07, 4.10, 0.0010562665, 0.0000038848, 22, 0.0002135138, 0.0000001050, 874, 1.21, 0.25
16, 0.0000128984, 0.0000000065, 11, 0.14, 0.26, 0.0000128984, 0.0000000065, 3, 0.0000128984, 0.0000000065, 3, 1.00, 1.00
17, 0.0002537723, 0.0000012661, 94, 1.65, 3.67, 0.0003823068, 0.0000005907, 44, 0.0001947782, 0.0000001242, 450, 1.51, 0.77
18, 0.0000130139, 0.0000000259, 11, 0.13, 0.30, 0.0000130139, 0.0000000259, 4, 0.0000130139, 0.0000000259, 4, 1.00, 1.00
19, 0.0008065203, 0.0000008379, 96, 1.97, 3.99, 0.0010339668, 0.0000003628, 9, 0.0002726487, 0.0000001831, 580, 1.28, 0.34
20, 0.0000101582, 0.0000000423, 11, 0.13, 0.29, 0.0000101582, 0.0000000423, 4, 0.0000101582, 0.0000000423, 4, 1.00, 1.00
21, 0.0017514572, 0.0000008388, 45, 1.08, 3.10, 0.0017514572, 0.0000008388, 18, 0.0002557951, 0.0000004536, 1025, 1.00, 0.15
22, 0.0000098437, 0.0000000243, 10, 0.12, 0.21, 0.0000098437, 0.0000000243, 2, 0.0000098437, 0.0000000243, 2, 1.00, 1.00
23, 0.0002331888, 0.0000003391, 90, 1.91, 3.93, 0.0002504843, 0.0000004544, 1, 0.0001418498, 0.0000001882, 323, 1.07, 0.61
24, 0.0016157693, 0.0000019489, 88, 2.78, 4.80, 0.0021180156, 0.0000324358, 5, 0.0002749489, 0.0000003750, 449, 1.31, 0.17
25, 0.0000110339, 0.0000000132, 11, 0.13, 0.25, 0.0000110339, 0.0000000132, 3, 0.0000110339, 0.0000000132, 3, 1.00, 1.00
26, 0.0013093198, 0.0000030404, 92, 2.86, 4.88, 0.0014604738, 0.0000008187, 20, 0.0002801498, 0.0000007041, 385, 1.12, 0.21
27, 0.0000039650, 0.0000001520, 33, 0.46, 2.49, 0.0000095594, 0.0000000611, 13, 0.0000094594, 0.0000000049, 52, 2.41, 2.39
28, 0.0000010883, 0.0000001678, 11, 0.12, 0.16, 0.0000208777, 0.0000000600, 1, 0.0000208777, 0.0000000600, 1, 19.18, 19.18
29, 0.0000185393, 0.0000000136, 47, 0.57, 1.01, 0.0000185393, 0.0000000136, 11, 0.0000185393, 0.0000000136, 11, 1.00, 1.00
30, 0.0000242058, 0.0000000484, 50, 0.54, 2.56, 0.0000242058, 0.0000000484, 50, 0.0000235190, 0.0000001284, 53, 1.00, 0.97
TOP: 100
Layer, DPMeta time(s), DPMeta std(s), DPMeta trials, DPMeta Tuning(min), DPMeta+Meta tuning(min), Meta-100 time(s), Meta-100 std(s), trials-100, Meta 10k time(s), Meta 10k std(s), trials-10k, speedup-100, speedup-10k
0, 0.0000572355, 0.0000001591, 99, 1.28, 5.32, 0.0000633237, 0.0000000580, 73, 0.0000546699, 0.0000001060, 143, 1.11, 0.96
1, 0.0000220002, 0.0000006464, 11, 0.14, 0.22, 0.0000236384, 0.0000002053, 2, 0.0000236384, 0.0000002053, 2, 1.07, 1.07
2, 0.0000386705, 0.0000006119, 100, 1.32, 5.13, 0.0000455743, 0.0000000472, 94, 0.0000455743, 0.0000000472, 94, 1.18, 1.18
3, 0.0000141082, 0.0000001332, 11, 0.15, 0.27, 0.0000141082, 0.0000001332, 3, 0.0000141082, 0.0000001332, 3, 1.00, 1.00
4, 0.0000316923, 0.0000000373, 50, 0.65, 4.08, 0.0000316923, 0.0000000373, 85, 0.0000316923, 0.0000000373, 85, 1.00, 1.00
5, 0.0000162400, 0.0000002045, 11, 0.14, 0.18, 0.0000301035, 0.0000000842, 1, 0.0000301035, 0.0000000842, 1, 1.85, 1.85
6, 0.0007318115, 0.0000006268, 95, 1.88, 5.93, 0.0008207001, 0.0000004047, 40, 0.0002042228, 0.0000002152, 645, 1.12, 0.28
7, 0.0000195375, 0.0000000067, 16, 0.43, 1.57, 0.0000195375, 0.0000000067, 28, 0.0000195375, 0.0000000067, 28, 1.00, 1.00
8, 0.0005177580, 0.0000003906, 93, 2.30, 6.35, 0.0006396757, 0.0000017430, 68, 0.0002179982, 0.0000004541, 902, 1.24, 0.42
9, 0.0000225820, 0.0000004768, 11, 0.14, 0.18, 0.0000687889, 0.0000019545, 1, 0.0000687889, 0.0000019545, 1, 3.05, 3.05
10, 0.0004720654, 0.0000009399, 18, 0.75, 4.80, 0.0004720654, 0.0000009399, 78, 0.0002145986, 0.0000001080, 833, 1.00, 0.45
11, 0.0002745942, 0.0000000266, 96, 1.99, 6.04, 0.0004057136, 0.0000006377, 75, 0.0001953302, 0.0000004341, 402, 1.48, 0.71
12, 0.0000135990, 0.0000000172, 11, 0.13, 0.21, 0.0000135990, 0.0000000172, 2, 0.0000135990, 0.0000000172, 2, 1.00, 1.00
13, 0.0003028385, 0.0000004737, 48, 0.99, 5.04, 0.0003028385, 0.0000004737, 94, 0.0002100534, 0.0000001183, 468, 1.00, 0.69
