BENCH: alexnet
SIZE: 1
Layer, Time Droplet (s), Tuning time Droplet (s), Tuning time Droplet+Ansor (s), tasks Droplet, Time Ansor-1 (s), tuning time Ansor-1, task Ansor-1, Time Ansor 10k (s), tuning time 10k (s), tasks Ansor, speedup top-1, speedup 10k, speed tuning time top-1, speed tuning time 10k
21, 0.00022744, 26.69, 76.84, 33, 0.00041796, 50.15, 50, 0.00033759, 128.38, 128, 1.84, 1.48, 0.65, 1.67
22, 0.00005796, 16.12, 66.27, 21, 0.00012574, 50.15, 50, 0.00011337, 64.19, 64, 2.17, 1.96, 0.76, 0.97
23, 0.00086045, 22.75, 72.90, 31, 0.00129970, 50.15, 50, 0.00097549, 256.76, 256, 1.51, 1.13, 0.69, 3.52
24, 0.00008041, 16.70, 66.85, 21, 0.00015028, 50.15, 50, 0.00015028, 64.19, 64, 1.87, 1.87, 0.75, 0.96
25, 0.00019075, 29.36, 79.50, 35, 0.00034117, 50.15, 50, 0.00028043, 128.38, 128, 1.79, 1.47, 0.63, 1.61
26, 0.00000484, 1.18, 51.33, 2, 0.00000493, 50.15, 50, 0.00000493, 64.19, 64, 1.02, 1.02, 0.98, 1.25
27, 0.00007029, 6.97, 57.12, 13, 0.00010028, 50.15, 50, 0.00010028, 64.19, 64, 1.43, 1.43, 0.88, 1.12
28, 0.00035241, 41.30, 91.45, 41, 0.00068973, 50.15, 50, 0.00058769, 128.38, 128, 1.96, 1.67, 0.55, 1.40
29, 0.00019464, 32.66, 82.81, 36, 0.00036611, 50.15, 50, 0.00029005, 128.38, 128, 1.88, 1.49, 0.61, 1.55
30, 0.00006632, 14.30, 64.45, 23, 0.00008995, 50.15, 50, 0.00008995, 64.19, 64, 1.36, 1.36, 0.78, 1.00
31, 0.00000776, 21.92, 72.07, 33, 0.00002411, 50.15, 50, 0.00002286, 64.19, 64, 3.11, 2.95, 0.70, 0.89
32, 0.00037593, 18.39, 68.54, 24, 0.00060339, 50.15, 50, 0.00051614, 128.38, 128, 1.61, 1.37, 0.73, 1.87
33, 0.00018931, 25.25, 75.40, 31, 0.00037574, 50.15, 50, 0.00024797, 128.38, 128, 1.98, 1.31, 0.67, 1.70
34, 0.00032161, 5.86, 56.01, 11, 0.00075472, 50.15, 50, 0.00051045, 128.38, 128, 2.35, 1.59, 0.90, 2.29
35, 0.00026446, 29.65, 79.79, 33, 0.00068943, 50.15, 50, 0.00043365, 128.38, 128, 2.61, 1.64, 0.63, 1.61
36, 0.00014709, 28.40, 78.55, 29, 0.00028186, 50.15, 50, 0.00028186, 64.19, 64, 1.92, 1.92, 0.64, 0.82
37, 0.00004483, 15.34, 65.49, 21, 0.00009283, 50.15, 50, 0.00009283, 64.19, 64, 2.07, 2.07, 0.77, 0.98
38, 0.00013874, 11.73, 61.88, 21, 0.00026378, 50.15, 50, 0.00026378, 64.19, 64, 1.90, 1.90, 0.81, 1.04
39, 0.00028905, 23.28, 73.43, 32, 0.00054212, 50.15, 50, 0.00043677, 128.38, 128, 1.88, 1.51, 0.68, 1.75
40, 0.00013509, 41.05, 91.20, 40, 0.00027910, 50.15, 50, 0.00027910, 64.19, 64, 2.07, 2.07, 0.55, 0.70
41, 0.00004105, 6.88, 57.03, 11, 0.00008830, 50.15, 50, 0.00008597, 64.19, 64, 2.15, 2.09, 0.88, 1.13
42, 0.00156122, 15.69, 65.84, 11, 0.00156122, 50.15, 50, 0.00113182, 256.76, 256, 1.00, 0.72, 0.76, 3.90
