BENCH: googlenet
TOP: 1
Layer, DPMeta time(s), DPMeta std(s), DPMeta trials, DPMeta Tuning(min), DPMeta+Meta tuning(min), Meta-1 time(s), Meta-1 std(s), trials-1, Meta 10k time(s), Meta 10k std(s), trials-10k, speedup-1, speedup-10k
34, 0.0000124783, 0.0000000029, 59, 0.61, 0.87, 0.0000124783, 0.0000000029, 6, 0.0000076758, 0.0000000030, 220, 1.00, 0.62
35, 0.0000197144, 0.0000000055, 64, 0.69, 0.95, 0.0000197144, 0.0000000055, 3, 0.0000138583, 0.0000000004, 294, 1.00, 0.70
36, 0.0000592213, 0.0000002414, 79, 1.17, 1.43, 0.0000919823, 0.0000000018, 7, 0.0000331514, 0.0000000044, 582, 1.55, 0.56
37, 0.0000035299, 0.0000000001, 2, 0.14, 0.35, 0.0000035299, 0.0000000001, 8, 0.0000035299, 0.0000000001, 8, 1.00, 1.00
38, 0.0000130267, 0.0000001298, 66, 0.91, 1.17, 0.0000130267, 0.0000001298, 1, 0.0000068297, 0.0000000036, 249, 1.00, 0.52
39, 0.0000064895, 0.0000000006, 61, 0.95, 1.21, 0.0000064895, 0.0000000006, 9, 0.0000055650, 0.0000000018, 62, 1.00, 0.86
40, 0.0000153893, 0.0000000044, 45, 0.89, 1.15, 0.0000153893, 0.0000000044, 9, 0.0000120376, 0.0000000007, 60, 1.00, 0.78
41, 0.0000199677, 0.0000008359, 94, 1.47, 1.73, 0.0000495332, 0.0000000146, 8, 0.0000103235, 0.0000000011, 159, 2.48, 0.52
42, 0.0000329275, 0.0000000047, 64, 1.11, 1.37, 0.0000329275, 0.0000000047, 7, 0.0000224198, 0.0000000014, 233, 1.00, 0.68
43, 0.0000028748, 0.0000000000, 2, 0.16, 0.36, 0.0000028748, 0.0000000000, 8, 0.0000028748, 0.0000000000, 8, 1.00, 1.00
44, 0.0001803947, 0.0000002414, 84, 1.75, 2.01, 0.0003468431, 0.0000028432, 1, 0.0000224230, 0.0000000191, 592, 1.92, 0.12
45, 0.0000046817, 0.0000000005, 7, 0.18, 0.43, 0.0000046817, 0.0000000005, 5, 0.0000041132, 0.0000000052, 43, 1.00, 0.88
46, 0.0000068993, 0.0000000009, 52, 0.99, 1.09, 0.0000068993, 0.0000000009, 4, 0.0000068993, 0.0000000009, 4, 1.00, 1.00
47, 0.0000513702, 0.0000006386, 81, 1.49, 1.74, 0.0000569276, 0.0000000138, 4, 0.0000348678, 0.0000000283, 680, 1.11, 0.68
48, 0.0000043074, 0.0000000026, 7, 0.19, 0.44, 0.0000043074, 0.0000000026, 7, 0.0000038455, 0.0000000006, 101, 1.00, 0.89
49, 0.0000141736, 0.0000000116, 66, 0.93, 1.19, 0.0000141736, 0.0000000116, 4, 0.0000109168, 0.0000000027, 35, 1.00, 0.77
50, 0.0000031535, 0.0000000010, 2, 0.15, 0.41, 0.0000031535, 0.0000000010, 8, 0.0000031142, 0.0000000015, 12, 1.00, 0.99
51, 0.0000179200, 0.0000000000, 63, 1.51, 1.76, 0.0000206383, 0.0000000016, 5, 0.0000127340, 0.0000000010, 504, 1.15, 0.71
52, 0.0000036585, 0.0000001438, 2, 0.15, 0.21, 0.0000036585, 0.0000001438, 2, 0.0000036585, 0.0000001438, 2, 1.00, 1.00
53, 0.0000037343, 0.0000000002, 7, 0.18, 0.43, 0.0000037343, 0.0000000002, 2, 0.0000035285, 0.0000000007, 95, 1.00, 0.94
54, 0.0000264528, 0.0000002414, 99, 1.43, 1.69, 0.0000342123, 0.0000000077, 4, 0.0000152808, 0.0000000026, 353, 1.29, 0.58
55, 0.0000032187, 0.0000000017, 2, 0.16, 0.19, 0.0000032187, 0.0000000017, 1, 0.0000032187, 0.0000000017, 1, 1.00, 1.00
56, 0.0000220160, 0.0000000000, 77, 1.69, 1.94, 0.0000505924, 0.0000000207, 3, 0.0000129359, 0.0000000005, 365, 2.30, 0.59
57, 0.0000030958, 0.0000000000, 2, 0.16, 0.41, 0.0000030958, 0.0000000000, 10, 0.0000030958, 0.0000000000, 10, 1.00, 1.00
58, 0.0000151892, 0.0000004825, 86, 1.42, 1.68, 0.0000167645, 0.0000000015, 6, 0.0000106796, 0.0000000083, 459, 1.10, 0.70
59, 0.0000030994, 0.0000000014, 2, 0.16, 0.39, 0.0000030994, 0.0000000014, 9, 0.0000030994, 0.0000000014, 9, 1.00, 1.00
60, 0.0000226987, 0.0000002414, 74, 1.57, 1.83, 0.0000282685, 0.0000000026, 6, 0.0000104848, 0.0000000008, 568, 1.25, 0.46
61, 0.0000028655, 0.0000000001, 2, 0.16, 0.39, 0.0000028655, 0.0000000001, 9, 0.0000028655, 0.0000000001, 9, 1.00, 1.00
62, 0.0000255995, 0.0000004180, 100, 1.71, 1.96, 0.0000318570, 0.0000000003, 2, 0.0000184067, 0.0000000052, 338, 1.24, 0.72
63, 0.0000031840, 0.0000000027, 2, 0.17, 0.32, 0.0000031840, 0.0000000027, 6, 0.0000031840, 0.0000000027, 6, 1.00, 1.00
64, 0.0000032046, 0.0000000009, 7, 0.19, 0.45, 0.0000032046, 0.0000000009, 8, 0.0000029879, 0.0000000014, 93, 1.00, 0.93
