BENCH: alexnet
TOP: 1
Layer, DPMeta time(s), DPMeta std(s), DPMeta trials, DPMeta Tuning(min), DPMeta+Meta tuning(min), Meta-1 time(s), Meta-1 std(s), trials-1, Meta 10k time(s), Meta 10k std(s), trials-10k, speedup-1, speedup-10k
17, 0.0000042582, 0.0000000451, 10, 0.114, 1.129, 0.0000042582, 0.0000000451, 31, 0.0000042582, 0.0000000451, 31, 1.015, 1.00, 1.00
18, 0.0000034008, 0.0000000579, 13, 0.145, 1.258, 0.0000034128, 0.0000000054, 34, 0.0000034128, 0.0000000054, 34, 1.113, 1.00, 1.00
19, 0.0000078772, 0.0000001138, 10, 0.077, 0.109, 0.0000080121, 0.0000000036, 1, 0.0000080121, 0.0000000036, 1, 0.033, 1.02, 1.02
20, 0.0262114385, 0.0000108067, 14, 0.402, 6.949, 0.0262114385, 0.0000108067, 117, 0.0261823001, 0.0000045680, 919, 30.086, 1.00, 1.00
21, 0.0039971580, 0.0000051242, 15, 0.142, 6.689, 0.0039971580, 0.0000051242, 47, 0.0039951375, 0.0000048841, 213, 6.973, 1.00, 1.00
22, 0.0006414312, 0.0000002607, 15, 0.099, 1.310, 0.0006414312, 0.0000002607, 37, 0.0006414312, 0.0000002607, 37, 1.211, 1.00, 1.00
23, 0.0000063337, 0.0000000411, 22, 0.166, 0.231, 0.0000073484, 0.0000000118, 2, 0.0000073484, 0.0000000118, 2, 0.065, 1.16, 1.16
TOP: 300
Layer, DPMeta time(s), DPMeta std(s), DPMeta trials, DPMeta Tuning(min), DPMeta+Meta tuning(min), Meta-300 time(s), Meta-300 std(s), trials-300, Meta 10k time(s), Meta 10k std(s), trials-10k, speedup-300, speedup-10k
0, 0.0000151880, 0.0000000050, 10, 0.076, 0.109, 0.0000151880, 0.0000000050, 1, 0.0000151880, 0.0000000050, 1, 0.033, 1.00, 1.00
1, 0.0019640377, 0.0000013680, 100, 0.995, 3.156, 0.0020858081, 0.0000017271, 66, 0.0020858081, 0.0000017271, 66, 2.161, 1.06, 1.06
2, 0.0007569422, 0.0000233870, 16, 0.166, 1.541, 0.0008100146, 0.0000001143, 42, 0.0008100146, 0.0000001143, 42, 1.375, 1.07, 1.07
3, 0.0178483268, 0.0000029426, 100, 4.001, 13.822, 0.0180625660, 0.0000240293, 265, 0.0179632524, 0.0000121662, 953, 31.199, 1.01, 1.01
4, 0.0001455679, 0.0000004375, 10, 0.078, 1.028, 0.0001455679, 0.0000004375, 29, 0.0001455679, 0.0000004375, 29, 0.949, 1.00, 1.00
5, 0.0000220423, 0.0000002844, 10, 0.075, 0.141, 0.0000224853, 0.0000000106, 2, 0.0000224853, 0.0000000106, 2, 0.065, 1.02, 1.02
6, 0.0182311338, 0.0000417869, 100, 4.004, 13.825, 0.0184905873, 0.0000738398, 262, 0.0174059682, 0.0000006654, 618, 20.232, 1.01, 0.95
7, 0.0001719801, 0.0000001901, 10, 0.077, 0.110, 0.0001719801, 0.0000001901, 1, 0.0001719801, 0.0000001901, 1, 0.033, 1.00, 1.00
8, 0.0348118220, 0.0000022247, 100, 1.925, 11.746, 0.0350160971, 0.0000092041, 182, 0.0349032073, 0.0000035902, 451, 14.765, 1.01, 1.00
9, 0.0000231433, 0.0000037398, 14, 0.143, 0.471, 0.0000337091, 0.0000003952, 10, 0.0000337091, 0.0000003952, 10, 0.327, 1.46, 1.46
10, 0.0000445685, 0.0000001018, 10, 0.077, 0.142, 0.0000445685, 0.0000001018, 2, 0.0000445685, 0.0000001018, 2, 0.065, 1.00, 1.00
11, 0.0181564690, 0.0000113734, 89, 1.002, 10.824, 0.0183114427, 0.0000038305, 200, 0.0175102084, 0.0000025736, 788, 25.797, 1.01, 0.96
12, 0.0000856021, 0.0000000826, 10, 0.076, 0.142, 0.0000856021, 0.0000000826, 2, 0.0000856021, 0.0000000826, 2, 0.065, 1.00, 1.00
13, 0.0353625180, 0.0000037744, 58, 1.594, 11.415, 0.0358301039, 0.0000657669, 259, 0.0347967882, 0.0000069069, 1351, 44.228, 1.01, 0.98
14, 0.0000170877, 0.0000029120, 10, 0.077, 0.928, 0.0000175983, 0.0000012747, 26, 0.0000175983, 0.0000012747, 26, 0.851, 1.03, 1.03
15, 0.0000238671, 0.0000000467, 10, 0.074, 0.107, 0.0000238671, 0.0000000467, 1, 0.0000238671, 0.0000000467, 1, 0.033, 1.00, 1.00
