BENCH: alexnet
Layer, Droplet time(s), Droplet std(s), Droplet trials, Droplet Tuning(min), Meta time(s), Meta std(s), speedup
63, 0.00018458, 0.00000120, 90, 0.57, 0.00024075, 0.00000026, 1.30
64, 0.00018351, 0.00000133, 78, 0.33, 0.00019158, 0.00000028, 1.04
65, 0.00017723, 0.00000179, 79, 0.14, 0.00019261, 0.00000008, 1.09
66, 0.00016314, 0.00000097, 74, 0.18, 0.00018879, 0.00000052, 1.16
67, 0.00014955, 0.00000149, 100, 0.29, 0.00016700, 0.00000012, 1.12
68, 0.00013314, 0.00000126, 83, 0.15, 0.00017644, 0.00000017, 1.33
69, 0.00018061, 0.00000164, 82, 0.17, 0.00018838, 0.00000026, 1.04
70, 0.00013425, 0.00000115, 77, 0.13, 0.00016114, 0.00000020, 1.20
71, 0.00013366, 0.00000027, 72, 0.13, 0.00013954, 0.00000012, 1.04
72, 0.00011999, 0.00000016, 82, 0.23, 0.00012813, 0.00000012, 1.07
73, 0.00011105, 0.00000037, 84, 0.48, 0.00016717, 0.00000027, 1.51
74, 0.00010287, 0.00000190, 91, 0.56, 0.00016935, 0.00000046, 1.65
75, 0.00010116, 0.00000124, 74, 0.16, 0.00010440, 0.00000004, 1.03
76, 0.00008529, 0.00000020, 77, 0.36, 0.00008687, 0.00000009, 1.02
77, 0.00009554, 0.00000018, 99, 0.45, 0.00010142, 0.00000009, 1.06
78, 0.00009473, 0.00000033, 65, 0.47, 0.00009724, 0.00000018, 1.03
79, 0.00006883, 0.00000011, 95, 0.52, 0.00007390, 0.00000020, 1.07
80, 0.00010377, 0.00000190, 63, 0.29, 0.00010799, 0.00000020, 1.04
81, 0.00005941, 0.00000016, 69, 0.33, 0.00006139, 0.00000006, 1.03
82, 0.00039301, 0.00000247, 100, 0.32, 0.00042650, 0.00000053, 1.09
83, 0.00037895, 0.00000068, 79, 0.17, 0.00039906, 0.00000034, 1.05
84, 0.00035784, 0.00000333, 64, 0.36, 0.00039346, 0.00000079, 1.10
85, 0.00039729, 0.00000257, 70, 0.49, 0.00041429, 0.00000037, 1.04
86, 0.00034065, 0.00000231, 82, 0.25, 0.00035562, 0.00000015, 1.04
87, 0.00041135, 0.00000858, 74, 0.41, 0.00042287, 0.00000072, 1.03
88, 0.00024705, 0.00000236, 74, 0.20, 0.00027663, 0.00000048, 1.12
89, 0.00028584, 0.00000241, 89, 0.59, 0.00031803, 0.00000006, 1.11
90, 0.00018704, 0.00000118, 82, 0.31, 0.00019913, 0.00000021, 1.06
91, 0.00018048, 0.00000016, 100, 0.54, 0.00019602, 0.00000025, 1.09
92, 0.00015350, 0.00000361, 100, 0.20, 0.00017506, 0.00000016, 1.14
93, 0.00012535, 0.00000023, 70, 0.29, 0.00013441, 0.00000028, 1.07
94, 0.00021532, 0.00000200, 100, 0.41, 0.00022902, 0.00000029, 1.06
95, 0.00058044, 0.00000238, 72, 0.35, 0.00060462, 0.00000181, 1.04
96, 0.00044320, 0.00000528, 100, 0.39, 0.00047849, 0.00000007, 1.08
97, 0.00040999, 0.00001256, 100, 0.47, 0.00046155, 0.00000075, 1.13
98, 0.00036549, 0.00000388, 69, 0.28, 0.00039897, 0.00000110, 1.09
99, 0.00028826, 0.00000146, 76, 0.56, 0.00030192, 0.00000023, 1.05
100, 0.00000611, 0.00000007, 10, 0.03, 0.00000611, 0.00000007, 1.00
101, 0.00000714, 0.00000026, 20, 0.07, 0.00000742, 0.00000001, 1.04
102, 0.00083003, 0.00001395, 74, 0.27, 0.00085846, 0.00000050, 1.03
103, 0.00001622, 0.00000052, 26, 0.09, 0.00001665, 0.00000002, 1.03
104, 0.00001835, 0.00000002, 10, 0.02, 0.00001835, 0.00000002, 1.00
105, 0.00078126, 0.00001044, 71, 0.21, 0.00081780, 0.00000063, 1.05
106, 0.00081615, 0.00001068, 100, 0.55, 0.00086275, 0.00000075, 1.06
107, 0.00073828, 0.00000830, 100, 0.32, 0.00080969, 0.00000123, 1.10
108, 0.00003352, 0.00000083, 17, 0.06, 0.00011227, 0.00000006, 3.35
109, 0.00000626, 0.00000001, 43, 0.06, 0.00000626, 0.00000001, 1.00
110, 0.00088802, 0.00001188, 86, 0.32, 0.00091813, 0.00000034, 1.03
111, 0.00001611, 0.00000041, 14, 0.04, 0.00005720, 0.00000016, 3.55
112, 0.00000455, 0.00000001, 16, 0.03, 0.00000455, 0.00000001, 1.00
113, 0.00224934, 0.00003959, 100, 0.40, 0.00228250, 0.00000073, 1.01
114, 0.00001350, 0.00000017, 17, 0.06, 0.00004780, 0.00000011, 3.54
115, 0.00000459, 0.00000001, 16, 0.03, 0.00000459, 0.00000001, 1.00
116, 0.00000399, 0.00000001, 15, 0.04, 0.00000399, 0.00000001, 1.00
117, 0.00000035, 0.00000004, 14, 0.04, 0.00000655, 0.00000001, 18.76
118, 0.00002450, 0.00000003, 1, 0.07, 0.00002450, 0.00000003, 1.00
119, 0.00000799, 0.00000002, 82, 0.15, 0.00000801, 0.00000000, 1.00
