BENCH: alexnet
Layer, Droplet time(s), Droplet std(s), Droplet trials, Droplet Tuning(min), Meta time(s), Meta std(s), speedup
26, 0.00074936, 0.00000388, 76, 0.35, 0.00078944, 0.00000086, 1.05
27, 0.00000332, 0.00000001, 35, 0.05, 0.00000332, 0.00000001, 1.00
28, 0.00000017, 0.00000001, 14, 0.04, 0.00000649, 0.00000002, 38.84
29, 0.00000785, 0.00000001, 1, 0.06, 0.00000785, 0.00000001, 1.00
30, 0.00000472, 0.00000000, 100, 0.17, 0.00000783, 0.00000000, 1.66
BENCH: vgg13
Layer, Droplet time(s), Droplet std(s), Droplet trials, Droplet Tuning(min), Meta time(s), Meta std(s), speedup
0, 0.00000678, 0.00000001, 10, 0.02, 0.00000678, 0.00000001, 1.00
1, 0.00070501, 0.00000417, 81, 0.51, 0.00074202, 0.00000109, 1.05
2, 0.00012661, 0.00001747, 14, 0.06, 0.00014861, 0.00000018, 1.17
3, 0.01216598, 0.00001841, 79, 2.69, 0.01222441, 0.00003078, 1.00
4, 0.00003153, 0.00000139, 34, 0.11, 0.00003215, 0.00000002, 1.02
5, 0.00667248, 0.00000727, 100, 0.72, 0.00674377, 0.00000290, 1.01
6, 0.01339986, 0.00000362, 40, 0.35, 0.01339986, 0.00000362, 1.00
7, 0.00001676, 0.00000008, 16, 0.05, 0.00001676, 0.00000008, 1.00
8, 0.00000846, 0.00000000, 10, 0.02, 0.00000846, 0.00000000, 1.00
9, 0.00688360, 0.00000357, 71, 0.62, 0.00693513, 0.00000138, 1.01
10, 0.00006487, 0.00000035, 10, 0.03, 0.00006751, 0.00000013, 1.04
11, 0.01334550, 0.00002072, 100, 2.37, 0.01339213, 0.00000273, 1.00
12, 0.00000818, 0.00000013, 16, 0.04, 0.00000818, 0.00000013, 1.00
13, 0.00001877, 0.00000054, 10, 0.02, 0.00001877, 0.00000000, 1.00
14, 0.00699413, 0.00000555, 73, 0.61, 0.00704128, 0.00000238, 1.01
15, 0.00003378, 0.00000010, 10, 0.03, 0.00003454, 0.00000004, 1.02
16, 0.01326162, 0.00000996, 100, 1.34, 0.01332228, 0.00001239, 1.00
17, 0.00000531, 0.00000001, 16, 0.03, 0.00000531, 0.00000001, 1.00
18, 0.00001187, 0.00000001, 10, 0.02, 0.00001187, 0.00000001, 1.00
19, 0.00338626, 0.00001104, 82, 0.42, 0.00341606, 0.00000167, 1.01
20, 0.00000374, 0.00000001, 24, 0.07, 0.00000374, 0.00000001, 1.00
21, 0.00000248, 0.00000002, 24, 0.04, 0.00000334, 0.00000001, 1.34
22, 0.00000750, 0.00000002, 10, 0.02, 0.00000750, 0.00000002, 1.00
23, 0.01142182, 0.00000368, 1, 0.76, 0.01142182, 0.00000368, 1.00
24, 0.00157382, 0.00000016, 1, 0.17, 0.00157382, 0.00000016, 1.00
25, 0.00005016, 0.00000002, 1, 0.08, 0.00005016, 0.00000002, 1.00
26, 0.00000777, 0.00000002, 37, 0.05, 0.00000777, 0.00000002, 1.00
BENCH: vgg16
Layer, Droplet time(s), Droplet std(s), Droplet trials, Droplet Tuning(min), Meta time(s), Meta std(s), speedup
0, 0.00000680, 0.00000001, 10, 0.02, 0.00000680, 0.00000001, 1.00
1, 0.00065491, 0.00000681, 85, 0.26, 0.00070303, 0.00000063, 1.07
2, 0.00024358, 0.00000073, 10, 0.03, 0.00024358, 0.00000073, 1.00
