BENCH: densenet169
TOP: 1
Layer, DPMeta time(s), DPMeta std(s), DPMeta trials, DPMeta Tuning(min), DPMeta+Meta tuning(min), Meta-1 time(s), Meta-1 std(s), trials-1, Meta 10k time(s), Meta 10k std(s), trials-10k, speedup-1, speedup-10k
5, 0.0000984013, 0.0000003462, 100, 1.43, 1.53, 0.0001882620, 0.0000002921, 9, 0.0001227238, 0.0000003824, 18, 1.91, 1.25
6, 0.0001245382, 0.0000003604, 98, 1.24, 1.35, 0.0001934563, 0.0000020727, 6, 0.0001003625, 0.0000001119, 39, 1.55, 0.81
7, 0.0001038380, 0.0000003558, 99, 1.29, 1.39, 0.0001674115, 0.0000003464, 10, 0.0000868633, 0.0000001021, 41, 1.61, 0.84
8, 0.0000957577, 0.0000005112, 96, 1.32, 1.43, 0.0001328488, 0.0000003052, 8, 0.0001022125, 0.0000000406, 14, 1.39, 1.07
9, 0.0001607587, 0.0000027590, 100, 1.34, 1.44, 0.0002567809, 0.0000004384, 7, 0.0001126988, 0.0000000544, 22, 1.60, 0.70
10, 0.0001139365, 0.0000004581, 100, 1.22, 1.32, 0.0001567942, 0.0000002771, 9, 0.0001060137, 0.0000000277, 57, 1.38, 0.93
11, 0.0001442298, 0.0000008353, 100, 1.32, 1.42, 0.0002024061, 0.0000001902, 8, 0.0000917544, 0.0000001828, 26, 1.40, 0.64
12, 0.0001119895, 0.0000018505, 100, 1.26, 1.31, 0.0001130028, 0.0000002173, 5, 0.0001130028, 0.0000002173, 5, 1.01, 1.01
13, 0.0000996928, 0.0000010276, 100, 1.26, 1.37, 0.0001579396, 0.0000028610, 9, 0.0001137803, 0.0000000418, 46, 1.58, 1.14
14, 0.0001427085, 0.0000008964, 99, 1.18, 1.28, 0.0001577006, 0.0000002244, 8, 0.0001110791, 0.0000001172, 11, 1.11, 0.78
15, 0.0001070945, 0.0000002205, 100, 1.30, 1.40, 0.0001515569, 0.0000001814, 3, 0.0001138745, 0.0000050703, 58, 1.42, 1.06
16, 0.0001550233, 0.0000010664, 98, 1.52, 1.62, 0.0001891059, 0.0000002282, 3, 0.0001120217, 0.0000003640, 29, 1.22, 0.72
17, 0.0001053163, 0.0000006758, 100, 1.25, 1.29, 0.0001371265, 0.0000002303, 4, 0.0001371265, 0.0000002303, 4, 1.30, 1.30
18, 0.0001234730, 0.0000003166, 50, 0.55, 0.66, 0.0001234730, 0.0000003166, 1, 0.0000977161, 0.0000000470, 11, 1.00, 0.79
