BENCH: alexnet
TOP: 1
Layer, DPMeta time(s), DPMeta std(s), DPMeta trials, DPMeta Tuning(min), DPMeta+Meta tuning(min), Meta-1 time(s), Meta-1 std(s), trials-1, Meta 10k time(s), Meta 10k std(s), trials-10k, speedup-1, speedup-10k
8, 0.0000029050, 0.0000000006, 2, 0.020, 0.333, 0.0000029050, 0.0000000006, 6, 0.0000029050, 0.0000000006, 6, 0.313, 1.00, 1.00
9, 0.0000979233, 0.0000010829, 18, 0.099, 5.308, 0.0000979233, 0.0000010829, 78, 0.0000905074, 0.0000009922, 475, 24.743, 1.00, 0.92
10, 0.0001991307, 0.0000006992, 28, 0.295, 5.504, 0.0002093956, 0.0000027288, 93, 0.0001448711, 0.0000018335, 1796, 93.554, 1.05, 0.73
11, 0.0000023192, 0.0000000007, 2, 0.020, 0.228, 0.0000023192, 0.0000000007, 4, 0.0000023192, 0.0000000007, 4, 0.208, 1.00, 1.00
12, 0.0000972910, 0.0000014763, 18, 0.112, 5.321, 0.0000972910, 0.0000014763, 37, 0.0000696302, 0.0000010990, 1294, 67.405, 1.00, 0.72
13, 0.0000022403, 0.0000000046, 2, 0.020, 2.885, 0.0000022403, 0.0000000046, 55, 0.0000022403, 0.0000000046, 55, 2.865, 1.00, 1.00
14, 0.0000043062, 0.0000000038, 2, 0.020, 2.937, 0.0000043062, 0.0000000038, 56, 0.0000043062, 0.0000000038, 56, 2.917, 1.00, 1.00
15, 0.0000022610, 0.0000000003, 2, 0.020, 0.333, 0.0000022610, 0.0000000003, 6, 0.0000022610, 0.0000000003, 6, 0.313, 1.00, 1.00
16, 0.0008805046, 0.0000001580, 7, 0.195, 5.404, 0.0008805046, 0.0000001580, 46, 0.0006641466, 0.0000012160, 184, 9.585, 1.00, 0.75
17, 0.0000879847, 0.0000003843, 18, 0.114, 5.323, 0.0000879847, 0.0000003843, 65, 0.0000875505, 0.0000000421, 424, 22.086, 1.00, 1.00
18, 0.0000961008, 0.0000000046, 18, 0.074, 5.283, 0.0000961008, 0.0000000046, 47, 0.0000625818, 0.0000000023, 124, 6.459, 1.00, 0.65
19, 0.0000022781, 0.0000000035, 12, 0.037, 1.965, 0.0000022781, 0.0000000035, 37, 0.0000022781, 0.0000000035, 37, 1.927, 1.00, 1.00
TOP: 200
Layer, DPMeta time(s), DPMeta std(s), DPMeta trials, DPMeta Tuning(min), DPMeta+Meta tuning(min), Meta-200 time(s), Meta-200 std(s), trials-200, Meta 10k time(s), Meta 10k std(s), trials-10k, speedup-200, speedup-10k
0, 0.0000976188, 0.0000002308, 17, 0.189, 10.607, 0.0000976188, 0.0000002308, 88, 0.0000956352, 0.0000001144, 425, 22.138, 1.00, 0.98
1, 0.0002061918, 0.0000002602, 51, 0.544, 10.962, 0.0002105391, 0.0000035425, 130, 0.0002010660, 0.0000025756, 967, 50.371, 1.02, 0.98
2, 0.0000212230, 0.0000000012, 2, 0.021, 2.053, 0.0000212230, 0.0000000012, 39, 0.0000212230, 0.0000000012, 39, 2.032, 1.00, 1.00
3, 0.0000976946, 0.0000008219, 18, 0.178, 10.596, 0.0000976946, 0.0000008219, 193, 0.0000884899, 0.0000013065, 328, 17.086, 1.00, 0.91
4, 0.0001341087, 0.0000018010, 18, 0.194, 10.612, 0.0001341087, 0.0000018010, 186, 0.0001260853, 0.0000016255, 517, 26.931, 1.00, 0.94
5, 0.0000113417, 0.0000000036, 2, 0.021, 0.541, 0.0000113417, 0.0000000036, 10, 0.0000113417, 0.0000000036, 10, 0.521, 1.00, 1.00
TOP: 300
Layer, DPMeta time(s), DPMeta std(s), DPMeta trials, DPMeta Tuning(min), DPMeta+Meta tuning(min), Meta-300 time(s), Meta-300 std(s), trials-300, Meta 10k time(s), Meta 10k std(s), trials-10k, speedup-300, speedup-10k
0, 0.0000962206, 0.0000001594, 15, 0.159, 15.786, 0.0000962206, 0.0000001594, 201, 0.0000956352, 0.0000001144, 425, 22.138, 1.00, 0.99
1, 0.0002063303, 0.0000007205, 34, 0.383, 16.010, 0.0002088893, 0.0000040874, 278, 0.0002010660, 0.0000025756, 967, 50.371, 1.01, 0.97
2, 0.0000212230, 0.0000000012, 2, 0.021, 2.053, 0.0000212230, 0.0000000012, 39, 0.0000212230, 0.0000000012, 39, 2.032, 1.00, 1.00
3, 0.0000908803, 0.0000008249, 17, 0.158, 15.785, 0.0000908803, 0.0000008249, 264, 0.0000884899, 0.0000013065, 328, 17.086, 1.00, 0.97
4, 0.0001301874, 0.0000018066, 17, 0.190, 15.817, 0.0001301874, 0.0000018066, 285, 0.0001260853, 0.0000016255, 517, 26.931, 1.00, 0.97
5, 0.0000113417, 0.0000000036, 2, 0.021, 0.541, 0.0000113417, 0.0000000036, 10, 0.0000113417, 0.0000000036, 10, 0.521, 1.00, 1.00
6, 0.0000665515, 0.0000008510, 18, 0.190, 15.817, 0.0000665515, 0.0000008510, 281, 0.0000661882, 0.0000006956, 322, 16.773, 1.00, 0.99
7, 0.0001131270, 0.0000016260, 18, 0.172, 15.800, 0.0001131270, 0.0000016260, 219, 0.0001051987, 0.0000014698, 1476, 76.885, 1.00, 0.93
8, 0.0000029050, 0.0000000006, 2, 0.020, 0.333, 0.0000029050, 0.0000000006, 6, 0.0000029050, 0.0000000006, 6, 0.313, 1.00, 1.00
9, 0.0000920390, 0.0000010841, 18, 0.106, 15.734, 0.0000920390, 0.0000010841, 274, 0.0000905074, 0.0000009922, 475, 24.743, 1.00, 0.98
10, 0.0001532388, 0.0000015103, 18, 0.116, 15.743, 0.0001532388, 0.0000015103, 277, 0.0001448711, 0.0000018335, 1796, 93.554, 1.00, 0.95
11, 0.0000023192, 0.0000000007, 2, 0.020, 0.229, 0.0000023192, 0.0000000007, 4, 0.0000023192, 0.0000000007, 4, 0.208, 1.00, 1.00
12, 0.0000831912, 0.0000008293, 18, 0.100, 15.727, 0.0000831912, 0.0000008293, 268, 0.0000696302, 0.0000010990, 1294, 67.405, 1.00, 0.84
13, 0.0000022403, 0.0000000046, 2, 0.020, 2.885, 0.0000022403, 0.0000000046, 55, 0.0000022403, 0.0000000046, 55, 2.865, 1.00, 1.00
14, 0.0000043062, 0.0000000038, 2, 0.020, 2.937, 0.0000043062, 0.0000000038, 56, 0.0000043062, 0.0000000038, 56, 2.917, 1.00, 1.00
15, 0.0000022610, 0.0000000003, 2, 0.020, 0.333, 0.0000022610, 0.0000000003, 6, 0.0000022610, 0.0000000003, 6, 0.313, 1.00, 1.00
16, 0.0006641466, 0.0000012160, 18, 0.164, 9.749, 0.0006641466, 0.0000012160, 184, 0.0006641466, 0.0000012160, 184, 9.585, 1.00, 1.00
17, 0.0000879847, 0.0000003843, 18, 0.119, 15.746, 0.0000879847, 0.0000003843, 65, 0.0000875505, 0.0000000421, 424, 22.086, 1.00, 1.00
18, 0.0000625818, 0.0000000023, 18, 0.072, 6.531, 0.0000625818, 0.0000000023, 124, 0.0000625818, 0.0000000023, 124, 6.459, 1.00, 1.00
19, 0.0000022781, 0.0000000035, 12, 0.036, 1.963, 0.0000022781, 0.0000000035, 37, 0.0000022781, 0.0000000035, 37, 1.927, 1.00, 1.00
TOP: 1000
Layer, DPMeta time(s), DPMeta std(s), DPMeta trials, DPMeta Tuning(min), DPMeta+Meta tuning(min), Meta-1000 time(s), Meta-1000 std(s), trials-1000, Meta 10k time(s), Meta 10k std(s), trials-10k, speedup-1000, speedup-10k
0, 0.0000956352, 0.0000001144, 18, 0.191, 22.329, 0.0000956352, 0.0000001144, 425, 0.0000956352, 0.0000001144, 425, 22.138, 1.00, 1.00
1, 0.0002010660, 0.0000025756, 18, 0.243, 50.615, 0.0002010660, 0.0000025756, 967, 0.0002010660, 0.0000025756, 967, 50.371, 1.00, 1.00
2, 0.0000212230, 0.0000000012, 2, 0.021, 2.053, 0.0000212230, 0.0000000012, 39, 0.0000212230, 0.0000000012, 39, 2.032, 1.00, 1.00
3, 0.0000884899, 0.0000013065, 18, 0.168, 17.253, 0.0000884899, 0.0000013065, 328, 0.0000884899, 0.0000013065, 328, 17.086, 1.00, 1.00
4, 0.0001260853, 0.0000016255, 18, 0.202, 27.133, 0.0001260853, 0.0000016255, 517, 0.0001260853, 0.0000016255, 517, 26.931, 1.00, 1.00
5, 0.0000113417, 0.0000000036, 2, 0.021, 0.541, 0.0000113417, 0.0000000036, 10, 0.0000113417, 0.0000000036, 10, 0.521, 1.00, 1.00
6, 0.0000661882, 0.0000006956, 18, 0.228, 17.001, 0.0000661882, 0.0000006956, 322, 0.0000661882, 0.0000006956, 322, 16.773, 1.00, 1.00
7, 0.0001054774, 0.0000011734, 18, 0.170, 52.260, 0.0001054774, 0.0000011734, 967, 0.0001051987, 0.0000014698, 1476, 76.885, 1.00, 1.00
8, 0.0000029050, 0.0000000006, 2, 0.020, 0.333, 0.0000029050, 0.0000000006, 6, 0.0000029050, 0.0000000006, 6, 0.313, 1.00, 1.00
9, 0.0000905074, 0.0000009922, 18, 0.110, 24.853, 0.0000905074, 0.0000009922, 475, 0.0000905074, 0.0000009922, 475, 24.743, 1.00, 1.00
10, 0.0001455189, 0.0000016188, 18, 0.109, 52.199, 0.0001455189, 0.0000016188, 919, 0.0001448711, 0.0000018335, 1796, 93.554, 1.00, 1.00
11, 0.0000023192, 0.0000000007, 2, 0.020, 0.229, 0.0000023192, 0.0000000007, 4, 0.0000023192, 0.0000000007, 4, 0.208, 1.00, 1.00
12, 0.0000703342, 0.0000006156, 18, 0.102, 52.193, 0.0000703342, 0.0000006156, 848, 0.0000696302, 0.0000010990, 1294, 67.405, 1.00, 0.99
13, 0.0000022403, 0.0000000046, 2, 0.020, 2.885, 0.0000022403, 0.0000000046, 55, 0.0000022403, 0.0000000046, 55, 2.865, 1.00, 1.00
14, 0.0000043062, 0.0000000038, 2, 0.020, 2.937, 0.0000043062, 0.0000000038, 56, 0.0000043062, 0.0000000038, 56, 2.917, 1.00, 1.00
15, 0.0000022610, 0.0000000003, 2, 0.020, 0.332, 0.0000022610, 0.0000000003, 6, 0.0000022610, 0.0000000003, 6, 0.313, 1.00, 1.00
16, 0.0006641466, 0.0000012160, 18, 0.254, 9.838, 0.0006641466, 0.0000012160, 184, 0.0006641466, 0.0000012160, 184, 9.585, 1.00, 1.00
17, 0.0000875505, 0.0000000421, 18, 0.115, 22.202, 0.0000875505, 0.0000000421, 424, 0.0000875505, 0.0000000421, 424, 22.086, 1.00, 1.00
18, 0.0000625818, 0.0000000023, 17, 0.063, 6.522, 0.0000625818, 0.0000000023, 124, 0.0000625818, 0.0000000023, 124, 6.459, 1.00, 1.00
19, 0.0000022781, 0.0000000035, 12, 0.037, 1.965, 0.0000022781, 0.0000000035, 37, 0.0000022781, 0.0000000035, 37, 1.927, 1.00, 1.00
BENCH: shufflenet
TOP: 1
Layer, DPMeta time(s), DPMeta std(s), DPMeta trials, DPMeta Tuning(min), DPMeta+Meta tuning(min), Meta-1 time(s), Meta-1 std(s), trials-1, Meta 10k time(s), Meta 10k std(s), trials-10k, speedup-1, speedup-10k
0, 0.0000023060, 0.0000000083, 2, 0.020, 0.034, 0.0000023060, 0.0000000083, 1, 0.0000022444, 0.0000000013, 6, 0.083, 1.00, 0.97
1, 0.0000039780, 0.0000002379, 18, 0.062, 0.076, 0.0000039780, 0.0000002379, 1, 0.0000022941, 0.0000000013, 69, 0.959, 1.00, 0.58
2, 0.0000430512, 0.0000020398, 14, 0.063, 0.077, 0.0000430512, 0.0000020398, 1, 0.0000076456, 0.0000000011, 389, 5.404, 1.00, 0.18
3, 0.0000022594, 0.0000000033, 2, 0.020, 0.034, 0.0000022594, 0.0000000033, 1, 0.0000022594, 0.0000000033, 1, 0.014, 1.00, 1.00
4, 0.0000053010, 0.0000003808, 18, 0.066, 0.080, 0.0000053010, 0.0000003808, 1, 0.0000022627, 0.0000000024, 296, 4.112, 1.00, 0.43
5, 0.0004882482, 0.0000362517, 18, 0.158, 0.172, 0.0004882482, 0.0000362517, 1, 0.0000093111, 0.0000000233, 194, 2.695, 1.00, 0.02
6, 0.0000022989, 0.0000000081, 2, 0.020, 0.034, 0.0000022989, 0.0000000081, 1, 0.0000022750, 0.0000000015, 6, 0.083, 1.00, 0.99
7, 0.0000063040, 0.0000002263, 64, 0.331, 0.345, 0.0000106578, 0.0000007317, 1, 0.0000022756, 0.0000000016, 176, 2.445, 1.69, 0.36
8, 0.0000075090, 0.0000002411, 100, 0.547, 0.561, 0.0000382932, 0.0000024779, 1, 0.0000037449, 0.0000000003, 164, 2.278, 5.10, 0.50
9, 0.0000196262, 0.0000002414, 19, 0.193, 0.207, 0.0000650728, 0.0000049172, 1, 0.0000025313, 0.0000000001, 102, 1.417, 3.32, 0.13
10, 0.0000132717, 0.0000008026, 10, 0.062, 0.075, 0.0000132717, 0.0000008026, 1, 0.0000033381, 0.0000000002, 898, 12.475, 1.00, 0.25
11, 0.0000158268, 0.0000010169, 18, 0.092, 0.106, 0.0000158268, 0.0000010169, 8, 0.0000044163, 0.0000000002, 155, 2.153, 1.00, 0.28
12, 0.0000467054, 0.0000012134, 2, 0.021, 0.034, 0.0000467054, 0.0000012134, 1, 0.0000022868, 0.0000000023, 10, 0.139, 1.00, 0.05
13, 0.0000066558, 0.0000004180, 52, 0.300, 0.314, 0.0000117492, 0.0000007935, 1, 0.0000025071, 0.0000000002, 88, 1.222, 1.77, 0.38
14, 0.0000044213, 0.0000003185, 18, 0.064, 0.077, 0.0000044213, 0.0000003185, 1, 0.0000026470, 0.0000000001, 70, 0.972, 1.00, 0.60
15, 0.0000054610, 0.0000004830, 2, 0.020, 0.034, 10000000000.0000000000, 0.0000000000, 1, 10000000000.0000000000, 0.0000000000, 1, 0.014, 1831166453030580.50, 1831166453030580.50
16, 0.0000045915, 0.0000004187, 2, 0.020, 0.034, 10000000000.0000000000, 0.0000000000, 1, 10000000000.0000000000, 0.0000000000, 1, 0.014, 2177937493193945.75, 2177937493193945.75
17, 0.0000027028, 0.0000002090, 18, 0.085, 0.098, 0.0000027028, 0.0000002090, 19, 0.0000023077, 0.0000000032, 68, 0.945, 1.00, 0.85
18, 0.0000218452, 0.0000002416, 37, 0.237, 0.251, 0.0002965791, 0.0000169921, 1, 0.0000035103, 0.0000000005, 258, 3.584, 13.58, 0.16
19, 0.0000022843, 0.0000000008, 2, 0.020, 0.034, 0.0000022843, 0.0000000008, 1, 0.0000022843, 0.0000000008, 1, 0.014, 1.00, 1.00
20, 0.0000023135, 0.0000000081, 2, 0.020, 0.034, 0.0000023135, 0.0000000081, 1, 0.0000023038, 0.0000000168, 2, 0.028, 1.00, 1.00
21, 0.0000070181, 0.0000005540, 18, 0.072, 0.086, 0.0000070181, 0.0000005540, 1, 0.0000022964, 0.0000000038, 194, 2.695, 1.00, 0.33
22, 0.0000264550, 0.0000020212, 14, 0.079, 0.093, 0.0000264550, 0.0000020212, 1, 0.0000047447, 0.0000000004, 387, 5.376, 1.00, 0.18
23, 0.0000022770, 0.0000000044, 2, 0.020, 0.034, 0.0000022770, 0.0000000044, 1, 0.0000022617, 0.0000000027, 2, 0.028, 1.00, 0.99
24, 0.0000023289, 0.0000000072, 2, 0.021, 0.034, 0.0000023289, 0.0000000072, 1, 0.0000022631, 0.0000000017, 6, 0.083, 1.00, 0.97
25, 0.0004832415, 0.0000388963, 10, 0.087, 0.100, 0.0004832415, 0.0000388963, 1, 0.0000153163, 0.0000000222, 636, 8.835, 1.00, 0.03
26, 0.0001589574, 0.0000094308, 2, 0.020, 0.034, 0.0001589574, 0.0000094308, 42, 0.0000023667, 0.0000000000, 127, 1.764, 1.00, 0.01
27, 0.0000404315, 0.0000000226, 33, 0.148, 0.162, 0.0000421795, 0.0000030082, 1, 0.0000130807, 0.0000000002, 266, 3.695, 1.04, 0.32
28, 0.0000272534, 0.0000000663, 2, 0.020, 0.034, 0.0000272534, 0.0000000663, 1, 0.0000022875, 0.0000000058, 58, 0.806, 1.00, 0.08
TOP: 10
Layer, DPMeta time(s), DPMeta std(s), DPMeta trials, DPMeta Tuning(min), DPMeta+Meta tuning(min), Meta-10 time(s), Meta-10 std(s), trials-10, Meta 10k time(s), Meta 10k std(s), trials-10k, speedup-10, speedup-10k
0, 0.0000022444, 0.0000000013, 2, 0.020, 0.103, 0.0000022444, 0.0000000013, 6, 0.0000022444, 0.0000000013, 6, 0.083, 1.00, 1.00
1, 0.0000039780, 0.0000002379, 18, 0.066, 0.205, 0.0000039780, 0.0000002379, 1, 0.0000022941, 0.0000000013, 69, 0.959, 1.00, 0.58
2, 0.0000141653, 0.0000002414, 32, 0.178, 0.317, 0.0000238097, 0.0000000655, 4, 0.0000076456, 0.0000000011, 389, 5.404, 1.68, 0.54
3, 0.0000022594, 0.0000000033, 2, 0.020, 0.034, 0.0000022594, 0.0000000033, 1, 0.0000022594, 0.0000000033, 1, 0.014, 1.00, 1.00
4, 0.0000023011, 0.0000000016, 18, 0.103, 0.242, 0.0000023011, 0.0000000016, 5, 0.0000022627, 0.0000000024, 296, 4.112, 1.00, 0.98
5, 0.0000114810, 0.0000000099, 16, 0.054, 0.193, 0.0000114810, 0.0000000099, 9, 0.0000093111, 0.0000000233, 194, 2.695, 1.00, 0.81
6, 0.0000022750, 0.0000000015, 2, 0.020, 0.103, 0.0000022750, 0.0000000015, 6, 0.0000022750, 0.0000000015, 6, 0.083, 1.00, 1.00
7, 0.0000026278, 0.0000000007, 18, 0.082, 0.221, 0.0000026278, 0.0000000007, 5, 0.0000022756, 0.0000000016, 176, 2.445, 1.00, 0.87
8, 0.0000041595, 0.0000000001, 18, 0.090, 0.229, 0.0000041595, 0.0000000001, 5, 0.0000037449, 0.0000000003, 164, 2.278, 1.00, 0.90
9, 0.0000041254, 0.0000000000, 18, 0.125, 0.264, 0.0000041254, 0.0000000000, 6, 0.0000025313, 0.0000000001, 102, 1.417, 1.00, 0.61
10, 0.0000046553, 0.0000000015, 18, 0.069, 0.207, 0.0000046553, 0.0000000015, 8, 0.0000033381, 0.0000000002, 898, 12.475, 1.00, 0.72
11, 0.0000158268, 0.0000010169, 18, 0.085, 0.224, 0.0000158268, 0.0000010169, 8, 0.0000044163, 0.0000000002, 155, 2.153, 1.00, 0.28
12, 0.0000022868, 0.0000000023, 2, 0.021, 0.159, 0.0000022868, 0.0000000023, 10, 0.0000022868, 0.0000000023, 10, 0.139, 1.00, 1.00
13, 0.0000047334, 0.0000000065, 18, 0.069, 0.208, 0.0000047334, 0.0000000065, 10, 0.0000025071, 0.0000000002, 88, 1.222, 1.00, 0.53
14, 0.0000044213, 0.0000003185, 18, 0.063, 0.202, 0.0000044213, 0.0000003185, 1, 0.0000026470, 0.0000000001, 70, 0.972, 1.00, 0.60
15, 0.0000054397, 0.0000004528, 2, 0.020, 0.034, 10000000000.0000000000, 0.0000000000, 1, 10000000000.0000000000, 0.0000000000, 1, 0.014, 1838347937986396.00, 1838347937986396.00
16, 0.0000046077, 0.0000004180, 2, 0.020, 0.034, 10000000000.0000000000, 0.0000000000, 1, 10000000000.0000000000, 0.0000000000, 1, 0.014, 2170295883672140.75, 2170295883672140.75
17, 0.0000027028, 0.0000002090, 18, 0.086, 0.225, 0.0000027028, 0.0000002090, 19, 0.0000023077, 0.0000000032, 68, 0.945, 1.00, 0.85
18, 0.0000110610, 0.0000004377, 85, 0.378, 0.517, 0.0000128950, 0.0000000007, 8, 0.0000035103, 0.0000000005, 258, 3.584, 1.17, 0.32
19, 0.0000022843, 0.0000000008, 2, 0.020, 0.034, 0.0000022843, 0.0000000008, 1, 0.0000022843, 0.0000000008, 1, 0.014, 1.00, 1.00
20, 0.0000023038, 0.0000000168, 2, 0.020, 0.048, 0.0000023038, 0.0000000168, 2, 0.0000023038, 0.0000000168, 2, 0.028, 1.00, 1.00
21, 0.0000033504, 0.0000000001, 18, 0.066, 0.205, 0.0000033504, 0.0000000001, 8, 0.0000022964, 0.0000000038, 194, 2.695, 1.00, 0.69
22, 0.0000233284, 0.0000000004, 18, 0.060, 0.199, 0.0000233284, 0.0000000004, 3, 0.0000047447, 0.0000000004, 387, 5.376, 1.00, 0.20
23, 0.0000022617, 0.0000000027, 2, 0.020, 0.048, 0.0000022617, 0.0000000027, 2, 0.0000022617, 0.0000000027, 2, 0.028, 1.00, 1.00
24, 0.0000022631, 0.0000000017, 2, 0.020, 0.104, 0.0000022631, 0.0000000017, 6, 0.0000022631, 0.0000000017, 6, 0.083, 1.00, 1.00
25, 0.0002028628, 0.0000000012, 18, 0.096, 0.235, 0.0002028628, 0.0000000012, 2, 0.0000153163, 0.0000000222, 636, 8.835, 1.00, 0.08
26, 0.0001589574, 0.0000094308, 2, 0.020, 0.159, 0.0001589574, 0.0000094308, 42, 0.0000023667, 0.0000000000, 127, 1.764, 1.00, 0.01
27, 0.0000195016, 0.0000000002, 18, 0.064, 0.203, 0.0000195016, 0.0000000002, 6, 0.0000130807, 0.0000000002, 266, 3.695, 1.00, 0.67
28, 0.0000103587, 0.0000000015, 10, 0.056, 0.195, 0.0000103587, 0.0000000015, 6, 0.0000022875, 0.0000000058, 58, 0.806, 1.00, 0.22
TOP: 50
Layer, DPMeta time(s), DPMeta std(s), DPMeta trials, DPMeta Tuning(min), DPMeta+Meta tuning(min), Meta-50 time(s), Meta-50 std(s), trials-50, Meta 10k time(s), Meta 10k std(s), trials-10k, speedup-50, speedup-10k
0, 0.0000022444, 0.0000000013, 2, 0.020, 0.103, 0.0000022444, 0.0000000013, 6, 0.0000022444, 0.0000000013, 6, 0.083, 1.00, 1.00
1, 0.0000029198, 0.0000000001, 18, 0.063, 0.758, 0.0000029198, 0.0000000001, 21, 0.0000022941, 0.0000000013, 69, 0.959, 1.00, 0.79
2, 0.0000119545, 0.0000000037, 14, 0.060, 0.755, 0.0000119545, 0.0000000037, 23, 0.0000076456, 0.0000000011, 389, 5.404, 1.00, 0.64
3, 0.0000022594, 0.0000000033, 2, 0.020, 0.034, 0.0000022594, 0.0000000033, 1, 0.0000022594, 0.0000000033, 1, 0.014, 1.00, 1.00
4, 0.0000022821, 0.0000000019, 18, 0.077, 0.771, 0.0000022821, 0.0000000019, 44, 0.0000022627, 0.0000000024, 296, 4.112, 1.00, 0.99
5, 0.0000114810, 0.0000000099, 16, 0.053, 0.748, 0.0000114810, 0.0000000099, 9, 0.0000093111, 0.0000000233, 194, 2.695, 1.00, 0.81
6, 0.0000022750, 0.0000000015, 2, 0.020, 0.103, 0.0000022750, 0.0000000015, 6, 0.0000022750, 0.0000000015, 6, 0.083, 1.00, 1.00
7, 0.0000024572, 0.0000000003, 18, 0.063, 0.758, 0.0000024572, 0.0000000003, 28, 0.0000022756, 0.0000000016, 176, 2.445, 1.00, 0.93
8, 0.0000041595, 0.0000000001, 18, 0.092, 0.786, 0.0000041595, 0.0000000001, 5, 0.0000037449, 0.0000000003, 164, 2.278, 1.00, 0.90
9, 0.0000026680, 0.0000000002, 18, 0.086, 0.780, 0.0000026680, 0.0000000002, 45, 0.0000025313, 0.0000000001, 102, 1.417, 1.00, 0.95
10, 0.0000046553, 0.0000000015, 18, 0.069, 0.764, 0.0000046553, 0.0000000015, 8, 0.0000033381, 0.0000000002, 898, 12.475, 1.00, 0.72
11, 0.0000066268, 0.0000000001, 18, 0.074, 0.769, 0.0000066268, 0.0000000001, 18, 0.0000044163, 0.0000000002, 155, 2.153, 1.00, 0.67
12, 0.0000022868, 0.0000000023, 2, 0.021, 0.160, 0.0000022868, 0.0000000023, 10, 0.0000022868, 0.0000000023, 10, 0.139, 1.00, 1.00
13, 0.0000027218, 0.0000000042, 18, 0.063, 0.758, 0.0000027218, 0.0000000042, 29, 0.0000025071, 0.0000000002, 88, 1.222, 1.00, 0.92
14, 0.0000044213, 0.0000003185, 18, 0.061, 0.756, 0.0000044213, 0.0000003185, 1, 0.0000026470, 0.0000000001, 70, 0.972, 1.00, 0.60
15, 0.0000052905, 0.0000006386, 2, 0.020, 0.034, 10000000000.0000000000, 0.0000000000, 1, 10000000000.0000000000, 0.0000000000, 1, 0.014, 1890180512238919.00, 1890180512238919.00
16, 0.0000044368, 0.0000004827, 2, 0.021, 0.034, 10000000000.0000000000, 0.0000000000, 1, 10000000000.0000000000, 0.0000000000, 1, 0.014, 2253859734795838.00, 2253859734795838.00
17, 0.0000026655, 0.0000000002, 18, 0.063, 0.758, 0.0000026655, 0.0000000002, 46, 0.0000023077, 0.0000000032, 68, 0.945, 1.00, 0.87
18, 0.0000056350, 0.0000000008, 18, 0.065, 0.759, 0.0000056350, 0.0000000008, 34, 0.0000035103, 0.0000000005, 258, 3.584, 1.00, 0.62
19, 0.0000022843, 0.0000000008, 2, 0.020, 0.034, 0.0000022843, 0.0000000008, 1, 0.0000022843, 0.0000000008, 1, 0.014, 1.00, 1.00
20, 0.0000023038, 0.0000000168, 2, 0.020, 0.048, 0.0000023038, 0.0000000168, 2, 0.0000023038, 0.0000000168, 2, 0.028, 1.00, 1.00
21, 0.0000029129, 0.0000000001, 18, 0.060, 0.755, 0.0000029129, 0.0000000001, 47, 0.0000022964, 0.0000000038, 194, 2.695, 1.00, 0.79
22, 0.0000114177, 0.0000000001, 18, 0.072, 0.767, 0.0000114177, 0.0000000001, 42, 0.0000047447, 0.0000000004, 387, 5.376, 1.00, 0.42
23, 0.0000022617, 0.0000000027, 2, 0.020, 0.048, 0.0000022617, 0.0000000027, 2, 0.0000022617, 0.0000000027, 2, 0.028, 1.00, 1.00
24, 0.0000022631, 0.0000000017, 2, 0.020, 0.104, 0.0000022631, 0.0000000017, 6, 0.0000022631, 0.0000000017, 6, 0.083, 1.00, 1.00
25, 0.0002028628, 0.0000000012, 18, 0.095, 0.789, 0.0002028628, 0.0000000012, 2, 0.0000153163, 0.0000000222, 636, 8.835, 1.00, 0.08
26, 0.0000043606, 0.0000000121, 2, 0.021, 0.715, 0.0000043606, 0.0000000121, 43, 0.0000023667, 0.0000000000, 127, 1.764, 1.00, 0.54
27, 0.0000195016, 0.0000000002, 18, 0.065, 0.760, 0.0000195016, 0.0000000002, 6, 0.0000130807, 0.0000000002, 266, 3.695, 1.00, 0.67
28, 0.0000022923, 0.0000000041, 10, 0.033, 0.728, 0.0000022923, 0.0000000041, 41, 0.0000022875, 0.0000000058, 58, 0.806, 1.00, 1.00
TOP: 100
Layer, DPMeta time(s), DPMeta std(s), DPMeta trials, DPMeta Tuning(min), DPMeta+Meta tuning(min), Meta-100 time(s), Meta-100 std(s), trials-100, Meta 10k time(s), Meta 10k std(s), trials-10k, speedup-100, speedup-10k
0, 0.0000022444, 0.0000000013, 2, 0.020, 0.103, 0.0000022444, 0.0000000013, 6, 0.0000022444, 0.0000000013, 6, 0.083, 1.00, 1.00
1, 0.0000022941, 0.0000000013, 18, 0.061, 1.020, 0.0000022941, 0.0000000013, 69, 0.0000022941, 0.0000000013, 69, 0.959, 1.00, 1.00
2, 0.0000112317, 0.0000000020, 14, 0.057, 1.446, 0.0000112317, 0.0000000020, 71, 0.0000076456, 0.0000000011, 389, 5.404, 1.00, 0.68
3, 0.0000022594, 0.0000000033, 2, 0.020, 0.034, 0.0000022594, 0.0000000033, 1, 0.0000022594, 0.0000000033, 1, 0.014, 1.00, 1.00
4, 0.0000022821, 0.0000000019, 18, 0.075, 1.464, 0.0000022821, 0.0000000019, 44, 0.0000022627, 0.0000000024, 296, 4.112, 1.00, 0.99
5, 0.0000094974, 0.0000000003, 18, 0.064, 1.453, 0.0000094974, 0.0000000003, 79, 0.0000093111, 0.0000000233, 194, 2.695, 1.00, 0.98
6, 0.0000022750, 0.0000000015, 2, 0.020, 0.103, 0.0000022750, 0.0000000015, 6, 0.0000022750, 0.0000000015, 6, 0.083, 1.00, 1.00
