Fri Dec 29 21:59:46 EST 2023
fj004
python /lustre/home/gverma/.conda/envs/tvm/bin/python
TVM_HOME /lustre/projects/ML-group/gverma/tvm
PYTHONPATH /lustre/projects/ML-group/gverma/tvm/python
Currently Loaded Modulefiles:
 1) slurm/slurm/19.05.7  

Top 1
Layer, Time Droplet (s), Tuning time Droplet (s), Tuning time Droplet+Ansor (s), tasks Droplet, Time Ansor-1 (s), tuning time Ansor-1, task Ansor-1, Time Ansor 10k (s), tuning time 10k (s), tasks Ansor, speedup top-1, speedup 10k, speed tuning time top-1, speed tuning time 10k
39, 0.00037675, 3.06, 6.49, 2, 0.00037678, 3.44,  1, 0.00003372, 219.84, 64, 1.00, 0.09, 0.53, 33.87
40, 0.00066528, 41.07, 44.50, 15, 0.00280117, 3.44,  1, 0.00018917, 1099.22, 320, 4.21, 0.28, 0.08, 24.70
41, 0.00080224, 149.65, 153.09, 48, 0.01196897, 3.44,  1, 0.00011006, 439.69, 128, 14.92, 0.14, 0.02, 2.87
42, 0.00016995, 146.43, 149.87, 40, 0.00081125, 3.44,  1, 0.00006980, 659.53, 192, 4.77, 0.41, 0.02, 4.40
43, 0.00010866, 54.00, 57.43, 22, 0.00014109, 3.44,  1, 0.00005185, 219.84, 64, 1.30, 0.48, 0.06, 3.83
44, 0.00013927, 171.81, 175.25, 36, 0.00017875, 3.44,  1, 0.00008215, 439.69, 128, 1.28, 0.59, 0.02, 2.51
45, 0.00006964, 68.43, 71.86, 21, 0.00008136, 3.44,  1, 0.00004121, 439.69, 128, 1.17, 0.59, 0.05, 6.12
46, 0.00016601, 79.26, 82.69, 21, 0.00043172, 3.44,  1, 0.00010519, 659.53, 192, 2.60, 0.63, 0.04, 7.98
47, 0.00012812, 153.04, 156.48, 25, 0.00064528, 3.44,  1, 0.00004422, 439.69, 128, 5.04, 0.35, 0.02, 2.81
48, 0.00005528, 2.68, 6.12, 2, 0.00005528, 3.44,  1, 0.00004000, 219.84, 64, 1.00, 0.72, 0.56, 35.95
49, 0.00012455, 108.57, 112.01, 36, 0.00023684, 3.44,  1, 0.00006710, 439.69, 128, 1.90, 0.54, 0.03, 3.93
50, 0.00019175, 55.56, 59.00, 21, 0.00019688, 3.44,  1, 0.00010383, 659.53, 192, 1.03, 0.54, 0.06, 11.18
51, 0.00015605, 127.42, 130.85, 35, 0.00025231, 3.44,  1, 0.00011223, 439.69, 128, 1.62, 0.72, 0.03, 3.36
52, 0.00010202, 25.21, 28.64, 7, 0.00011351, 3.44,  1, 0.00004500, 219.84, 64, 1.11, 0.44, 0.12, 7.68
53, 0.00003212, 2.34, 5.77, 2, 0.00003212, 3.44,  1, 0.00002825, 219.84, 64, 1.00, 0.88, 0.60, 38.09
54, 0.00073298, 132.23, 135.67, 33, 0.00328229, 3.44,  1, 0.00012169, 439.69, 128, 4.48, 0.17, 0.03, 3.24
55, 0.00007716, 2.59, 6.03, 2, 0.00009972, 3.44,  1, 0.00004986, 219.84, 64, 1.29, 0.65, 0.57, 36.48
56, 0.00008861, 118.12, 121.55, 40, 0.00009997, 3.44,  1, 0.00004960, 439.69, 128, 1.13, 0.56, 0.03, 3.62
57, 0.00307704, 102.29, 105.72, 21, 0.00343031, 3.44,  1, 0.00020759, 659.53, 192, 1.11, 0.07, 0.03, 6.24
58, 0.00303164, 137.09, 140.53, 26, 0.00811642, 3.44,  1, 0.00010697, 439.69, 128, 2.68, 0.04, 0.02, 3.13
59, 0.00024027, 18.63, 22.07, 12, 0.00084039, 3.44,  1, 0.00012225, 659.53, 192, 3.50, 0.51, 0.16, 29.89
60, 0.00050189, 178.47, 181.90, 17, 0.00058716, 3.44,  1, 0.00005599, 439.69, 128, 1.17, 0.11, 0.02, 2.42
61, 0.00042863, 142.47, 145.90, 21, 0.00346657, 3.44,  1, 0.00010445, 659.53, 192, 8.09, 0.24, 0.02, 4.52
Top 10
Layer, Time Droplet (s), Tuning time Droplet (s), Tuning time Droplet+Ansor (s), tasks Droplet, Time Ansor-10 (s), tuning time Ansor-10, task Ansor-10, Time Ansor 10k (s), tuning time 10k (s), tasks Ansor, speedup top-10, speedup 10k, speed tuning time top-10, speed tuning time 10k
0, 0.00020689, 53.87, 88.22, 12, 0.00024723, 34.35, 10, 0.00011388, 439.69, 128, 1.19, 0.55, 0.39, 4.98
1, 0.00004569, 23.41, 57.76, 14, 0.00005906, 34.35, 10, 0.00004513, 219.84, 64, 1.29, 0.99, 0.59, 3.81
2, 0.00004203, 3.47, 37.82, 2, 0.00004203, 34.35, 10, 0.00003010, 439.69, 128, 1.00, 0.72, 0.91, 11.63
3, 0.00230236, 83.02, 117.37, 8, 0.00230236, 34.35, 10, 0.00021284, 1538.91, 448, 1.00, 0.09, 0.29, 13.11
4, 0.00545438, 100.24, 134.60, 17, 0.00681692, 34.35, 10, 0.00052101, 2418.29, 704, 1.25, 0.10, 0.26, 17.97
5, 0.00028397, 110.02, 144.38, 43, 0.00038023, 34.35, 10, 0.00010678, 659.53, 192, 1.34, 0.38, 0.24, 4.57
6, 0.00008934, 72.85, 107.20, 31, 0.00013080, 34.35, 10, 0.00006946, 439.69, 128, 1.46, 0.78, 0.32, 4.10
7, 0.00078489, 30.78, 65.13, 17, 0.00149869, 34.35, 10, 0.00028853, 1099.22, 320, 1.91, 0.37, 0.53, 16.88
8, 0.00019908, 12.84, 47.19, 9, 0.00019908, 34.35, 10, 0.00011883, 879.38, 256, 1.00, 0.60, 0.73, 18.64
9, 0.00005712, 4.07, 38.42, 2, 0.00005712, 34.35, 10, 0.00003747, 219.84, 64, 1.00, 0.66, 0.89, 5.72
10, 0.00004957, 88.46, 122.81, 13, 0.00004957, 34.35, 10, 0.00003241, 219.84, 64, 1.00, 0.65, 0.28, 1.79
11, 0.00008359, 40.12, 74.47, 25, 0.00016344, 34.35, 10, 0.00006937, 659.53, 192, 1.96, 0.83, 0.46, 8.86
12, 0.00009180, 100.90, 135.25, 19, 0.00009559, 34.35, 10, 0.00004905, 439.69, 128, 1.04, 0.53, 0.25, 3.25
13, 0.00004082, 23.73, 58.08, 12, 0.00005899, 34.35, 10, 0.00004832, 219.84, 64, 1.45, 1.18, 0.59, 3.78
14, 0.00002786, 0.71, 35.06, 1, 0.00002786, 34.35, 10, 0.00002681, 219.84, 64, 1.00, 0.96, 0.98, 6.27
