Thu Dec 14 08:31:11 EST 2023
fj001
python /lustre/home/gverma/.conda/envs/tvm/bin/python
TVM_HOME /lustre/projects/ML-group/gverma/tvm
PYTHONPATH /lustre/projects/ML-group/gverma/tvm/python
Currently Loaded Modulefiles:
 1) slurm/slurm/19.05.7  

Top 1
Layer, Time Droplet (s), Tuning time Droplet (s), Tuning time Droplet+Ansor (s), tasks Droplet, Time Ansor-1 (s), tuning time Ansor-1, task Ansor-1, Time Ansor 10k (s), tuning time 10k (s), tasks Ansor, speedup top-1, speedup 10k, speed tuning time top-1, speed tuning time 10k
18, 0.00003094, 1.90, 471.29, 2, 0.00003094, 469.38, 148, 0.00003094, 469.38, 148, 1.00, 1.00, 1.00, 1.00
19, 0.00006823, 21.91, 656.21, 11, 0.00006823, 634.30, 200, 0.00006746, 1014.88, 320, 1.00, 0.99, 0.97, 1.55
20, 0.00005915, 43.85, 678.15, 11, 0.00005915, 634.30, 200, 0.00005915, 1014.88, 320, 1.00, 1.00, 0.94, 1.50
21, 0.00003806, 16.71, 625.64, 11, 0.00003806, 608.93, 192, 0.00003806, 608.93, 192, 1.00, 1.00, 0.97, 0.97
22, 0.00003949, 105.91, 740.21, 21, 0.00004453, 634.30, 200, 0.00004219, 1217.86, 384, 1.13, 1.07, 0.86, 1.65
Top 300
Layer, Time Droplet (s), Tuning time Droplet (s), Tuning time Droplet+Ansor (s), tasks Droplet, Time Ansor-300 (s), tuning time Ansor-300, task Ansor-300, Time Ansor 10k (s), tuning time 10k (s), tasks Ansor, speedup top-300, speedup 10k, speed tuning time top-300, speed tuning time 10k
0, 0.00004540, 71.17, 1022.62, 30, 0.00004720, 951.45, 300, 0.00004720, 1014.88, 320, 1.04, 1.04, 0.93, 0.99
1, 0.00002787, 53.71, 1005.16, 11, 0.00002787, 951.45, 300, 0.00002778, 1014.88, 320, 1.00, 1.00, 0.95, 1.01
2, 0.00011602, 18.77, 970.22, 6, 0.00011602, 951.45, 300, 0.00011067, 1623.81, 512, 1.00, 0.95, 0.98, 1.67
3, 0.00004356, 16.80, 625.73, 11, 0.00004356, 608.93, 192, 0.00004356, 608.93, 192, 1.00, 1.00, 0.97, 0.97
4, 0.00002343, 1.77, 376.01, 2, 0.00002343, 374.24, 118, 0.00002343, 374.24, 118, 1.00, 1.00, 1.00, 1.00
5, 0.00002393, 0.77, 362.32, 1, 0.00002393, 361.55, 114, 0.00002393, 361.55, 114, 1.00, 1.00, 1.00, 1.00
6, 0.00004095, 16.42, 625.35, 11, 0.00004095, 608.93, 192, 0.00004095, 608.93, 192, 1.00, 1.00, 0.97, 0.97
7, 0.00003545, 52.11, 1003.56, 11, 0.00003545, 951.45, 300, 0.00003531, 1217.86, 384, 1.00, 1.00, 0.95, 1.21
8, 0.00036433, 97.42, 1048.87, 35, 0.00045249, 951.45, 300, 0.00035140, 5074.41, 1600, 1.24, 0.96, 0.91, 4.84
9, 0.00012594, 65.47, 1016.92, 22, 0.00013890, 951.45, 300, 0.00010323, 3247.62, 1024, 1.10, 0.82, 0.94, 3.19
10, 0.00004913, 55.62, 1007.08, 11, 0.00004913, 951.45, 300, 0.00004913, 1014.88, 320, 1.00, 1.00, 0.94, 1.01
11, 0.00015151, 61.83, 1013.28, 11, 0.00015151, 951.45, 300, 0.00009203, 2638.70, 832, 1.00, 0.61, 0.94, 2.60
12, 0.00011014, 37.39, 988.84, 14, 0.00011357, 951.45, 300, 0.00007014, 2435.72, 768, 1.03, 0.64, 0.96, 2.46
13, 0.00003609, 60.44, 1011.90, 11, 0.00003609, 951.45, 300, 0.00003151, 1217.86, 384, 1.00, 0.87, 0.94, 1.20
14, 0.00011783, 26.96, 978.41, 11, 0.00011783, 951.45, 300, 0.00010564, 3044.65, 960, 1.00, 0.90, 0.97, 3.11
15, 0.00002755, 0.68, 406.63, 1, 0.00002755, 405.95, 128, 0.00002755, 405.95, 128, 1.00, 1.00, 1.00, 1.00
16, 0.00005558, 20.27, 971.72, 11, 0.00005558, 951.45, 300, 0.00005558, 1014.88, 320, 1.00, 1.00, 0.98, 1.04
17, 0.00004372, 12.21, 621.14, 11, 0.00004372, 608.93, 192, 0.00004372, 608.93, 192, 1.00, 1.00, 0.98, 0.98
18, 0.00003094, 1.79, 471.18, 2, 0.00003094, 469.38, 148, 0.00003094, 469.38, 148, 1.00, 1.00, 1.00, 1.00
19, 0.00006746, 19.37, 970.82, 11, 0.00006746, 951.45, 300, 0.00006746, 1014.88, 320, 1.00, 1.00, 0.98, 1.05
20, 0.00005915, 43.16, 994.61, 11, 0.00005915, 951.45, 300, 0.00005915, 1014.88, 320, 1.00, 1.00, 0.96, 1.02
21, 0.00003806, 16.77, 625.70, 11, 0.00003806, 608.93, 192, 0.00003806, 608.93, 192, 1.00, 1.00, 0.97, 0.97
22, 0.00004219, 11.11, 962.57, 9, 0.00004219, 951.45, 300, 0.00004219, 1217.86, 384, 1.00, 1.00, 0.99, 1.27
Top 1000
