Fri Dec 29 08:12:26 EST 2023
fj002
python /lustre/home/gverma/.conda/envs/tvm/bin/python
TVM_HOME /lustre/projects/ML-group/gverma/tvm
PYTHONPATH /lustre/projects/ML-group/gverma/tvm/python
Currently Loaded Modulefiles:
 1) slurm/slurm/19.05.7  

Top 1
Layer, Time Droplet (s), Tuning time Droplet (s), Tuning time Droplet+Ansor (s), tasks Droplet, Time Ansor-1 (s), tuning time Ansor-1, task Ansor-1, Time Ansor 10k (s), tuning time 10k (s), tasks Ansor, speedup top-1, speedup 10k, speed tuning time top-1, speed tuning time 10k
Layer, Time Droplet (s), Tuning time Droplet (s), Tuning time Droplet+Ansor (s), tasks Droplet, Time Ansor-10 (s), tuning time Ansor-10, task Ansor-10, Time Ansor 10k (s), tuning time 10k (s), tasks Ansor, speedup top-10, speedup 10k, speed tuning time top-10, speed tuning time 10k
0, 0.00148906, 174.53, 215.15, 47, 0.00250538, 40.61, 10, 0.00081801, 2599.21, 640, 1.68, 0.55, 0.19, 12.08
1, 0.00045672, 129.34, 169.95, 38, 0.00199934, 40.61, 10, 0.00017537, 779.76, 192, 4.38, 0.38, 0.24, 4.59
2, 0.00022615, 47.30, 87.91, 12, 0.00080949, 40.61, 10, 0.00010431, 1819.45, 448, 3.58, 0.46, 0.46, 20.70
3, 0.00198734, 71.45, 112.06, 7, 0.00088633, 40.61, 10, 0.00022610, 779.76, 192, 0.45, 0.11, 0.36, 6.96
4, 0.00029261, 185.85, 226.46, 97, 0.00152924, 40.61, 10, 0.00016472, 1299.61, 320, 5.23, 0.56, 0.18, 5.74
5, 0.00154669, 159.98, 200.60, 39, 0.00184484, 40.61, 10, 0.00056432, 1819.45, 448, 1.19, 0.36, 0.20, 9.07
6, 0.00023723, 525.34, 565.96, 109, 0.00061029, 40.61, 10, 0.00014928, 2079.37, 512, 2.57, 0.63, 0.07, 3.67
7, 0.00007357, 7.85, 48.46, 4, 0.00005477, 40.61, 10, 0.00004923, 259.92, 64, 0.74, 0.67, 0.84, 5.36
8, 0.00094686, 200.41, 241.02, 41, 0.00347195, 40.61, 10, 0.00075932, 2859.13, 704, 3.67, 0.80, 0.17, 11.86
9, 0.00001873, 1.86, 42.47, 2, 0.00001873, 40.61, 10, 0.00001873, 259.92, 64, 1.00, 1.00, 0.96, 6.12
10, 0.00007208, 248.59, 289.21, 73, 0.00033344, 40.61, 10, 0.00009251, 519.84, 128, 4.63, 1.28, 0.14, 1.80
11, 0.00056968, 317.01, 357.62, 61, 0.00109582, 40.61, 10, 0.00019039, 779.76, 192, 1.92, 0.33, 0.11, 2.18
12, 0.00031684, 293.95, 334.56, 58, 0.00051322, 40.61, 10, 0.00009896, 1299.61, 320, 1.62, 0.31, 0.12, 3.88
13, 0.00016399, 292.00, 332.61, 42, 0.00031114, 40.61, 10, 0.00010187, 519.84, 128, 1.90, 0.62, 0.12, 1.56
14, 0.00004739, 15.65, 56.26, 16, 0.00004739, 40.61, 10, 0.00004680, 259.92, 64, 1.00, 0.99, 0.72, 4.62
15, 0.00061167, 172.64, 213.25, 71, 0.00075939, 40.61, 10, 0.00023236, 779.76, 192, 1.24, 0.38, 0.19, 3.66
16, 0.00028587, 366.99, 407.60, 62, 0.00076302, 40.61, 10, 0.00011101, 1299.61, 320, 2.67, 0.39, 0.10, 3.19
