BENCH: inception_v3
Layer, Time Droplet (s), std droplet (s), Tuning time Droplet (s), Tuning time Droplet+Ansor (s), tasks Droplet, Time Ansor-1 (s), std Ansor-1, tuning time Ansor-1, task Ansor-1, Time Ansor 10k (s), std Ansor 10k, tuning time 10k (s), tasks Ansor, speedup top-1, speedup 10k, speed tuning time top-1, speed tuning time 10k, p-value
42, 0.00001111, 0.00000000, 11.32, 194.49, 11, 0.00001111, 0.00000000, 183.17, 25, 0.00001111, 0.00000000, 468.92, 64, 1.00, 1.00, 0.94, 2.41, 1.00000000
43, 0.00003609, 0.00000014, 22.55, 205.72, 23, 0.00003671, 0.00000000, 183.17, 25, 0.00001356, 0.00000000, 937.84, 128, 1.02, 0.38, 0.89, 4.56, 0.00000000
44, 0.00000521, 0.00000000, 11.45, 194.62, 13, 0.00000521, 0.00000000, 183.17, 25, 0.00000521, 0.00000000, 937.84, 128, 1.00, 1.00, 0.94, 4.82, 1.00000000
45, 0.00005170, 0.00000000, 18.82, 201.99, 11, 0.00005170, 0.00000000, 183.17, 25, 0.00002042, 0.00000000, 1406.76, 192, 1.00, 0.39, 0.91, 6.96, 0.00000000
46, 0.00002622, 0.00000000, 13.07, 196.24, 11, 0.00002622, 0.00000000, 183.17, 25, 0.00001221, 0.00000003, 1875.69, 256, 1.00, 0.47, 0.93, 9.56, 0.00000000
47, 0.00006503, 0.00000015, 15.75, 198.92, 16, 0.00006503, 0.00000015, 183.17, 25, 0.00005959, 0.00000008, 2344.61, 320, 1.00, 0.92, 0.92, 11.79, 0.00000137
48, 0.00005209, 0.00000000, 15.98, 199.15, 15, 0.00005209, 0.00000000, 183.17, 25, 0.00002679, 0.00000000, 937.84, 128, 1.00, 0.51, 0.92, 4.71, 0.00000000
49, 0.00000360, 0.00000000, 6.94, 190.11, 2, 0.00000360, 0.00000000, 183.17, 25, 0.00000359, 0.00000000, 468.92, 64, 1.00, 1.00, 0.96, 2.47, 0.00142978
50, 0.00002365, 0.00000000, 13.33, 196.50, 11, 0.00002365, 0.00000000, 183.17, 25, 0.00001420, 0.00000003, 937.84, 128, 1.00, 0.60, 0.93, 4.77, 0.00000000
51, 0.00002663, 0.00000000, 13.10, 196.27, 15, 0.00002663, 0.00000000, 183.17, 25, 0.00001231, 0.00000000, 1875.69, 256, 1.00, 0.46, 0.93, 9.56, 0.00000000
52, 0.00000215, 0.00000000, 6.34, 189.51, 2, 0.00000215, 0.00000000, 183.17, 25, 0.00000215, 0.00000000, 468.92, 64, 1.00, 1.00, 0.97, 2.47, 1.00000000
53, 0.00003148, 0.00000000, 20.18, 203.36, 16, 0.00003148, 0.00000000, 183.17, 25, 0.00002193, 0.00000001, 937.84, 128, 1.00, 0.70, 0.90, 4.61, 0.00000000
54, 0.00008638, 0.00000000, 21.56, 204.73, 13, 0.00008638, 0.00000000, 183.17, 25, 0.00002073, 0.00000004, 2344.61, 320, 1.00, 0.24, 0.89, 11.45, 0.00000000
