BENCH: squeezenet
Layer, Time Droplet (s), std droplet (s), Tuning time Droplet (s), Tuning time Droplet+Ansor (s), tasks Droplet, Time Ansor-1 (s), std Ansor-1, tuning time Ansor-1, task Ansor-1, Time Ansor 10k (s), std Ansor 10k, tuning time 10k (s), tasks Ansor, speedup top-1, speedup 10k, speed tuning time top-1, speed tuning time 10k, p-value
18, 0.00000390, 0.00000000, 19.77, 1506.50, 11, 0.00000390, 0.00000000, 1486.73, 200, 0.00000363, 0.00000000, 2854.51, 384, 1.00, 0.93, 0.99, 1.89, 0.00000000
19, 0.00000806, 0.00000000, 27.53, 1514.26, 15, 0.00000806, 0.00000000, 1486.73, 200, 0.00000806, 0.00000000, 2854.51, 384, 1.00, 1.00, 0.98, 1.89, 1.00000000
20, 0.00000363, 0.00000000, 6.04, 637.90, 2, 0.00000363, 0.00000000, 631.86, 85, 0.00000363, 0.00000000, 631.86, 85, 1.00, 1.00, 0.99, 0.99, 1.00000000
21, 0.00000405, 0.00000000, 24.87, 1452.12, 11, 0.00000405, 0.00000000, 1427.26, 192, 0.00000405, 0.00000000, 1427.26, 192, 1.00, 1.00, 0.98, 0.98, 1.00000000
22, 0.00000577, 0.00000000, 14.70, 1501.42, 13, 0.00000577, 0.00000000, 1486.73, 200, 0.00000544, 0.00000000, 2378.76, 320, 1.00, 0.94, 0.99, 1.58, 0.00000000
Layer, Time Droplet (s), std droplet (s), Tuning time Droplet (s), Tuning time Droplet+Ansor (s), tasks Droplet, Time Ansor-300 (s), std Ansor-300, tuning time Ansor-300, task Ansor-300, Time Ansor 10k (s), std Ansor 10k, tuning time 10k (s), tasks Ansor, speedup top-300, speedup 10k, speed tuning time top-300, speed tuning time 10k, p-value
0, 0.00000378, 0.00000000, 17.42, 1444.67, 15, 0.00000378, 0.00000000, 1427.26, 192, 0.00000378, 0.00000000, 1427.26, 192, 1.00, 1.00, 0.99, 0.99, 1.00000000
1, 0.00003252, 0.00000002, 23.14, 2253.23, 15, 0.00003252, 0.00000002, 2230.09, 300, 0.00003240, 0.00000001, 10942.30, 1472, 1.00, 1.00, 0.99, 4.86, 0.00254093
2, 0.00000215, 0.00000001, 9.39, 381.07, 11, 0.00000215, 0.00000001, 371.68, 50, 0.00000215, 0.00000001, 371.68, 50, 1.00, 1.00, 0.98, 0.98, 1.00000000
3, 0.00000467, 0.00000000, 11.27, 1914.28, 13, 0.00000467, 0.00000000, 1903.01, 256, 0.00000467, 0.00000000, 1903.01, 256, 1.00, 1.00, 0.99, 0.99, 1.00000000
4, 0.00000567, 0.00000000, 27.70, 2257.79, 15, 0.00000567, 0.00000000, 2230.09, 300, 0.00000567, 0.00000000, 2378.76, 320, 1.00, 1.00, 0.99, 1.05, 1.00000000
5, 0.00000619, 0.00000000, 27.81, 2257.90, 13, 0.00000619, 0.00000000, 2230.09, 300, 0.00000619, 0.00000000, 2378.76, 320, 1.00, 1.00, 0.99, 1.05, 1.00000000
6, 0.00000497, 0.00000001, 20.55, 2250.64, 17, 0.00000497, 0.00000001, 2230.09, 300, 0.00000497, 0.00000001, 2378.76, 320, 1.00, 1.00, 0.99, 1.06, 1.00000000
7, 0.00000340, 0.00000000, 17.78, 1445.04, 13, 0.00000340, 0.00000000, 1427.26, 192, 0.00000340, 0.00000000, 1427.26, 192, 1.00, 1.00, 0.99, 0.99, 1.00000000
