BENCH: densenet169
Layer, Time Droplet (s), std droplet (s), Tuning time Droplet (s), Tuning time Droplet+Ansor (s), tasks Droplet, Time Ansor-1 (s), std Ansor-1, tuning time Ansor-1, task Ansor-1, Time Ansor 10k (s), std Ansor 10k, tuning time 10k (s), tasks Ansor, speedup top-1, speedup 10k, speed tuning time top-1, speed tuning time 10k, p-value
94, 0.00013641, 0.00000002, 16.37, 23.48, 15, 0.00013641, 0.00000002, 7.11,  1, 0.00001789, 0.00000000, 455.14, 64, 1.00, 0.13, 0.30, 19.39, 0.00000000
95, 0.00007097, 0.00000000, 54.27, 61.38, 11, 0.00007097, 0.00000000, 7.11,  1, 0.00001590, 0.00000000, 910.28, 128, 1.00, 0.22, 0.12, 14.83, 0.00000000
96, 0.00007940, 0.00000015, 20.94, 28.05, 26, 0.00012789, 0.00000039, 7.11,  1, 0.00001526, 0.00000000, 910.28, 128, 1.61, 0.19, 0.25, 32.45, 0.00000000
Layer, Time Droplet (s), std droplet (s), Tuning time Droplet (s), Tuning time Droplet+Ansor (s), tasks Droplet, Time Ansor-10 (s), std Ansor-10, tuning time Ansor-10, task Ansor-10, Time Ansor 10k (s), std Ansor 10k, tuning time 10k (s), tasks Ansor, speedup top-10, speedup 10k, speed tuning time top-10, speed tuning time 10k, p-value
0, 0.00006198, 0.00000000, 11.56, 82.68, 11, 0.00006198, 0.00000000, 71.12, 10, 0.00001434, 0.00000000, 455.14, 64, 1.00, 0.23, 0.86, 5.50, 0.00000000
1, 0.00003923, 0.00000004, 12.16, 83.27, 15, 0.00003923, 0.00000004, 71.12, 10, 0.00002018, 0.00000001, 910.28, 128, 1.00, 0.51, 0.85, 10.93, 0.00000000
2, 0.00001679, 0.00000002, 12.22, 83.33, 11, 0.00001679, 0.00000002, 71.12, 10, 0.00001679, 0.00000002, 455.14, 64, 1.00, 1.00, 0.85, 5.46, 1.00000000
3, 0.00004519, 0.00000000, 12.04, 83.16, 13, 0.00004519, 0.00000000, 71.12, 10, 0.00001628, 0.00000000, 910.28, 128, 1.00, 0.36, 0.86, 10.95, 0.00000000
4, 0.00004624, 0.00000000, 14.95, 86.06, 15, 0.00004624, 0.00000000, 71.12, 10, 0.00002089, 0.00000000, 455.14, 64, 1.00, 0.45, 0.83, 5.29, 0.00000000
5, 0.00006123, 0.00000016, 17.54, 88.66, 11, 0.00006123, 0.00000016, 71.12, 10, 0.00002626, 0.00000008, 3185.98, 448, 1.00, 0.43, 0.80, 35.94, 0.00000000
6, 0.00003861, 0.00000000, 13.73, 84.84, 11, 0.00003861, 0.00000000, 71.12, 10, 0.00001104, 0.00000000, 455.14, 64, 1.00, 0.29, 0.84, 5.36, 0.00000000
7, 0.00012294, 0.00000028, 13.44, 84.56, 15, 0.00012294, 0.00000028, 71.12, 10, 0.00004926, 0.00000009, 910.28, 128, 1.00, 0.40, 0.84, 10.76, 0.00000000
8, 0.00001788, 0.00000001, 11.24, 82.35, 11, 0.00001788, 0.00000001, 71.12, 10, 0.00001788, 0.00000001, 455.14, 64, 1.00, 1.00, 0.86, 5.53, 1.00000000
9, 0.00000450, 0.00000000, 11.01, 82.13, 13, 0.00000450, 0.00000000, 71.12, 10, 0.00000416, 0.00000000, 455.14, 64, 1.00, 0.93, 0.87, 5.54, 0.00000000
10, 0.00003686, 0.00000028, 31.27, 102.39, 52, 0.00004764, 0.00000004, 71.12, 10, 0.00001906, 0.00000001, 455.14, 64, 1.29, 0.52, 0.69, 4.45, 0.00000009
11, 0.00002298, 0.00000043, 21.68, 92.80, 25, 0.00005239, 0.00000000, 71.12, 10, 0.00001952, 0.00000000, 455.14, 64, 2.28, 0.85, 0.77, 4.90, 0.00032661
12, 0.00004274, 0.00000000, 18.30, 89.42, 16, 0.00004274, 0.00000000, 71.12, 10, 0.00001669, 0.00000000, 910.28, 128, 1.00, 0.39, 0.80, 10.18, 0.00000000
13, 0.00004451, 0.00000004, 18.59, 89.71, 11, 0.00004451, 0.00000004, 71.12, 10, 0.00001854, 0.00000000, 455.14, 64, 1.00, 0.42, 0.79, 5.07, 0.00000000
14, 0.00004259, 0.00000001, 15.12, 86.24, 15, 0.00004259, 0.00000001, 71.12, 10, 0.00002197, 0.00000002, 455.14, 64, 1.00, 0.52, 0.82, 5.28, 0.00000000
15, 0.00001095, 0.00000002, 12.15, 83.27, 11, 0.00001095, 0.00000002, 71.12, 10, 0.00000935, 0.00000001, 455.14, 64, 1.00, 0.85, 0.85, 5.47, 0.00000005
16, 0.00002840, 0.00000000, 13.93, 85.05, 12, 0.00002840, 0.00000000, 71.12, 10, 0.00001203, 0.00000000, 455.14, 64, 1.00, 0.42, 0.84, 5.35, 0.00000000
17, 0.00005168, 0.00000000, 13.00, 84.12, 15, 0.00005168, 0.00000000, 71.12, 10, 0.00001501, 0.00000000, 455.14, 64, 1.00, 0.29, 0.85, 5.41, 0.00000000
18, 0.00002217, 0.00000028, 34.28, 105.40, 40, 0.00004357, 0.00000001, 71.12, 10, 0.00002219, 0.00000000, 455.14, 64, 1.97, 1.00, 0.67, 4.32, 0.91301830
19, 0.00003243, 0.00000009, 13.32, 84.44, 11, 0.00003243, 0.00000009, 71.12, 10, 0.00002029, 0.00000007, 455.14, 64, 1.00, 0.63, 0.84, 5.39, 0.00000001
20, 0.00003257, 0.00000010, 14.71, 85.82, 15, 0.00003257, 0.00000010, 71.12, 10, 0.00002703, 0.00000006, 910.28, 128, 1.00, 0.83, 0.83, 10.61, 0.00000029
21, 0.00001888, 0.00000017, 24.99, 96.11, 25, 0.00002561, 0.00000000, 71.12, 10, 0.00000754, 0.00000000, 455.14, 64, 1.36, 0.40, 0.74, 4.74, 0.00000007
22, 0.00000416, 0.00000001, 10.75, 81.87, 12, 0.00000416, 0.00000001, 71.12, 10, 0.00000414, 0.00000000, 455.14, 64, 1.00, 1.00, 0.87, 5.56, 0.00666177
23, 0.00001533, 0.00000000, 25.86, 96.98, 15, 0.00001533, 0.00000000, 71.12, 10, 0.00001433, 0.00000002, 455.14, 64, 1.00, 0.94, 0.73, 4.69, 0.00000013
24, 0.00002596, 0.00000002, 12.83, 83.95, 11, 0.00002596, 0.00000002, 71.12, 10, 0.00001167, 0.00000000, 910.28, 128, 1.00, 0.45, 0.85, 10.84, 0.00000000
25, 0.00003286, 0.00000000, 19.20, 90.31, 11, 0.00003286, 0.00000000, 71.12, 10, 0.00001888, 0.00000000, 455.14, 64, 1.00, 0.57, 0.79, 5.04, 0.00000000
26, 0.00001677, 0.00000000, 12.36, 83.48, 13, 0.00001677, 0.00000000, 71.12, 10, 0.00001605, 0.00000000, 455.14, 64, 1.00, 0.96, 0.85, 5.45, 0.00000000
27, 0.00004221, 0.00000016, 32.81, 103.93, 41, 0.00007277, 0.00000000, 71.12, 10, 0.00002418, 0.00000005, 455.14, 64, 1.72, 0.57, 0.68, 4.38, 0.00000001
28, 0.00004449, 0.00000000, 11.87, 82.99, 12, 0.00004449, 0.00000000, 71.12, 10, 0.00001313, 0.00000000, 910.28, 128, 1.00, 0.30, 0.86, 10.97, 0.00000000
29, 0.00002791, 0.00000000, 20.05, 91.17, 15, 0.00002791, 0.00000000, 71.12, 10, 0.00001800, 0.00000006, 910.28, 128, 1.00, 0.65, 0.78, 9.98, 0.00000000
30, 0.00002530, 0.00000004, 9.81, 80.92, 11, 0.00002530, 0.00000004, 71.12, 10, 0.00001951, 0.00000005, 455.14, 64, 1.00, 0.77, 0.88, 5.62, 0.00000002
31, 0.00003187, 0.00000007, 12.79, 83.91, 13, 0.00003187, 0.00000007, 71.12, 10, 0.00001560, 0.00000000, 455.14, 64, 1.00, 0.49, 0.85, 5.42, 0.00000000
32, 0.00001984, 0.00000002, 15.28, 86.40, 15, 0.00001984, 0.00000002, 71.12, 10, 0.00001984, 0.00000002, 455.14, 64, 1.00, 1.00, 0.82, 5.27, 1.00000000
33, 0.00004881, 0.00000028, 23.67, 94.78, 28, 0.00005002, 0.00000000, 71.12, 10, 0.00001227, 0.00000003, 455.14, 64, 1.02, 0.25, 0.75, 4.80, 0.00000001
34, 0.00005312, 0.00000006, 11.46, 82.58, 11, 0.00005312, 0.00000006, 71.12, 10, 0.00001262, 0.00000000, 910.28, 128, 1.00, 0.24, 0.86, 11.02, 0.00000000
35, 0.00004276, 0.00000018, 14.49, 85.61, 21, 0.00004674, 0.00000000, 71.12, 10, 0.00001698, 0.00000003, 910.28, 128, 1.09, 0.40, 0.83, 10.63, 0.00000000
36, 0.00002309, 0.00000001, 20.65, 91.76, 11, 0.00002309, 0.00000001, 71.12, 10, 0.00002309, 0.00000001, 455.14, 64, 1.00, 1.00, 0.77, 4.96, 1.00000000
37, 0.00000419, 0.00000001, 10.67, 81.78, 12, 0.00000419, 0.00000001, 71.12, 10, 0.00000417, 0.00000000, 455.14, 64, 1.00, 1.00, 0.87, 5.57, 0.02085932
38, 0.00002082, 0.00000028, 28.25, 99.36, 25, 0.00002435, 0.00000000, 71.12, 10, 0.00000992, 0.00000000, 455.14, 64, 1.17, 0.48, 0.72, 4.58, 0.00000064
39, 0.00004145, 0.00000007, 8.47, 79.58, 11, 0.00004145, 0.00000007, 71.12, 10, 0.00001832, 0.00000000, 910.28, 128, 1.00, 0.44, 0.89, 11.44, 0.00000000
40, 0.00003671, 0.00000000, 11.87, 82.98, 11, 0.00003671, 0.00000000, 71.12, 10, 0.00001944, 0.00000005, 455.14, 64, 1.00, 0.53, 0.86, 5.48, 0.00000000
41, 0.00004915, 0.00000028, 23.97, 95.08, 23, 0.00005012, 0.00000000, 71.12, 10, 0.00002585, 0.00000004, 910.28, 128, 1.02, 0.53, 0.75, 9.57, 0.00000003
