BENCH: resnet50
Layer, Time Droplet (s), std droplet (s), Tuning time Droplet (s), Tuning time Droplet+Ansor (s), tasks Droplet, Time Ansor-1 (s), std Ansor-1, tuning time Ansor-1, task Ansor-1, Time Ansor 10k (s), std Ansor 10k, tuning time 10k (s), tasks Ansor, speedup top-1, speedup 10k, speed tuning time top-1, speed tuning time 10k, p-value
20, 0.00002894, 0.00000004, 12.78, 1255.45, 11, 0.00002894, 0.00000004, 1242.68, 192, 0.00002894, 0.00000004, 1242.68, 192, 1.00, 1.00, 0.99, 0.99, 1.00000000
21, 0.00001811, 0.00000000, 13.01, 1954.69, 11, 0.00001811, 0.00000000, 1941.68, 300, 0.00001793, 0.00000001, 2485.35, 384, 1.00, 0.99, 0.99, 1.27, 0.00000251
22, 0.00002277, 0.00000003, 24.30, 1965.98, 17, 0.00002277, 0.00000003, 1941.68, 300, 0.00002145, 0.00000003, 4142.25, 640, 1.00, 0.94, 0.99, 2.11, 0.00000179
23, 0.00001719, 0.00000001, 17.28, 1958.96, 11, 0.00001719, 0.00000001, 1941.68, 300, 0.00001717, 0.00000003, 4142.25, 640, 1.00, 1.00, 0.99, 2.11, 0.48832575
24, 0.00000366, 0.00000001, 6.94, 395.28, 2, 0.00000366, 0.00000001, 388.34, 60, 0.00000366, 0.00000001, 388.34, 60, 1.00, 1.00, 0.98, 0.98, 1.00000000
25, 0.00002359, 0.00000005, 20.84, 1962.52, 13, 0.00002359, 0.00000005, 1941.68, 300, 0.00002301, 0.00000005, 2899.58, 448, 1.00, 0.98, 0.99, 1.48, 0.00024446
26, 0.00006052, 0.00000000, 21.70, 1963.38, 11, 0.00006052, 0.00000000, 1941.68, 300, 0.00006052, 0.00000000, 2485.35, 384, 1.00, 1.00, 0.99, 1.27, 1.00000000
27, 0.00003393, 0.00000007, 14.50, 1956.18, 11, 0.00003393, 0.00000007, 1941.68, 300, 0.00003393, 0.00000007, 2071.13, 320, 1.00, 1.00, 0.99, 1.06, 1.00000000
Layer, Time Droplet (s), std droplet (s), Tuning time Droplet (s), Tuning time Droplet+Ansor (s), tasks Droplet, Time Ansor-1000 (s), std Ansor-1000, tuning time Ansor-1000, task Ansor-1000, Time Ansor 10k (s), std Ansor 10k, tuning time 10k (s), tasks Ansor, speedup top-1000, speedup 10k, speed tuning time top-1000, speed tuning time 10k, p-value
0, 0.00001544, 0.00000001, 21.50, 849.95, 15, 0.00001544, 0.00000001, 828.45, 128, 0.00001544, 0.00000001, 828.45, 128, 1.00, 1.00, 0.97, 0.97, 1.00000000
