BENCH: mobilenet_v2
Layer, Time Droplet (s), std droplet (s), Tuning time Droplet (s), Tuning time Droplet+Ansor (s), tasks Droplet, Time Ansor-1 (s), std Ansor-1, tuning time Ansor-1, task Ansor-1, Time Ansor 10k (s), std Ansor 10k, tuning time 10k (s), tasks Ansor, speedup top-1, speedup 10k, speed tuning time top-1, speed tuning time 10k, p-value
Layer, Time Droplet (s), std droplet (s), Tuning time Droplet (s), Tuning time Droplet+Ansor (s), tasks Droplet, Time Ansor-200 (s), std Ansor-200, tuning time Ansor-200, task Ansor-200, Time Ansor 10k (s), std Ansor 10k, tuning time 10k (s), tasks Ansor, speedup top-200, speedup 10k, speed tuning time top-200, speed tuning time 10k, p-value
0, 0.00000724, 0.00000000, 14.10, 1425.08, 12, 0.00000724, 0.00000000, 1410.98, 200, 0.00000724, 0.00000000, 1806.06, 256, 1.00, 1.00, 0.99, 1.27, 1.00000000
1, 0.00000415, 0.00000000, 12.94, 915.97, 11, 0.00000415, 0.00000000, 903.03, 128, 0.00000415, 0.00000000, 903.03, 128, 1.00, 1.00, 0.99, 0.99, 1.00000000
2, 0.00000237, 0.00000000, 10.56, 1421.54, 9, 0.00000237, 0.00000000, 1410.98, 200, 0.00000236, 0.00000000, 2257.57, 320, 1.00, 0.99, 0.99, 1.59, 0.00872809
3, 0.00001135, 0.00000000, 14.28, 1425.26, 15, 0.00001135, 0.00000000, 1410.98, 200, 0.00001023, 0.00000000, 4966.65, 704, 1.00, 0.90, 0.99, 3.48, 0.00000000
4, 0.00000356, 0.00000000, 14.31, 1425.29, 11, 0.00000356, 0.00000000, 1410.98, 200, 0.00000356, 0.00000000, 2257.57, 320, 1.00, 1.00, 0.99, 1.58, 1.00000000
5, 0.00000257, 0.00000000, 12.65, 1423.63, 11, 0.00000257, 0.00000000, 1410.98, 200, 0.00000256, 0.00000000, 2257.57, 320, 1.00, 1.00, 0.99, 1.59, 0.00937820
6, 0.00000958, 0.00000000, 13.17, 1424.15, 11, 0.00000958, 0.00000000, 1410.98, 200, 0.00000958, 0.00000000, 2257.57, 320, 1.00, 1.00, 0.99, 1.59, 1.00000000
7, 0.00000427, 0.00000000, 13.19, 916.22, 11, 0.00000427, 0.00000000, 903.03, 128, 0.00000427, 0.00000000, 903.03, 128, 1.00, 1.00, 0.99, 0.99, 1.00000000
8, 0.00000680, 0.00000001, 11.28, 1422.26, 11, 0.00000680, 0.00000001, 1410.98, 200, 0.00000538, 0.00000000, 2709.08, 384, 1.00, 0.79, 0.99, 1.90, 0.00000001
9, 0.00000411, 0.00000000, 10.80, 913.83, 13, 0.00000411, 0.00000000, 903.03, 128, 0.00000411, 0.00000000, 903.03, 128, 1.00, 1.00, 0.99, 0.99, 1.00000000
10, 0.00000684, 0.00000000, 16.42, 1427.40, 11, 0.00000684, 0.00000000, 1410.98, 200, 0.00000647, 0.00000001, 4515.14, 640, 1.00, 0.95, 0.99, 3.16, 0.00000122
11, 0.00000506, 0.00000000, 15.04, 1426.02, 12, 0.00000506, 0.00000000, 1410.98, 200, 0.00000499, 0.00000000, 2257.57, 320, 1.00, 0.99, 0.99, 1.58, 0.00000001
12, 0.00001125, 0.00000001, 11.84, 1422.82, 11, 0.00001125, 0.00000001, 1410.98, 200, 0.00001115, 0.00000000, 2709.08, 384, 1.00, 0.99, 0.99, 1.90, 0.00002922
13, 0.00000295, 0.00000000, 14.24, 917.26, 16, 0.00000295, 0.00000000, 903.03, 128, 0.00000295, 0.00000000, 903.03, 128, 1.00, 1.00, 0.98, 0.98, 1.00000000
14, 0.00001895, 0.00000001, 12.98, 1423.96, 15, 0.00001895, 0.00000001, 1410.98, 200, 0.00001884, 0.00000003, 4063.63, 576, 1.00, 0.99, 0.99, 2.85, 0.00503615
15, 0.00000499, 0.00000000, 14.63, 1369.17, 11, 0.00000499, 0.00000000, 1354.54, 192, 0.00000499, 0.00000000, 1354.54, 192, 1.00, 1.00, 0.99, 0.99, 1.00000000
16, 0.00000305, 0.00000000, 12.65, 915.68, 14, 0.00000305, 0.00000000, 903.03, 128, 0.00000305, 0.00000000, 903.03, 128, 1.00, 1.00, 0.99, 0.99, 1.00000000
17, 0.00000396, 0.00000000, 14.45, 917.48, 11, 0.00000396, 0.00000000, 903.03, 128, 0.00000396, 0.00000000, 903.03, 128, 1.00, 1.00, 0.98, 0.98, 1.00000000
18, 0.00000525, 0.00000000, 17.07, 1371.62, 13, 0.00000525, 0.00000000, 1354.54, 192, 0.00000525, 0.00000000, 1354.54, 192, 1.00, 1.00, 0.99, 0.99, 1.00000000
19, 0.00000323, 0.00000000, 13.71, 1368.25, 11, 0.00000323, 0.00000000, 1354.54, 192, 0.00000323, 0.00000000, 1354.54, 192, 1.00, 1.00, 0.99, 0.99, 1.00000000
20, 0.00000380, 0.00000000, 13.50, 916.53, 11, 0.00000380, 0.00000000, 903.03, 128, 0.00000380, 0.00000000, 903.03, 128, 1.00, 1.00, 0.99, 0.99, 1.00000000
21, 0.00000647, 0.00000001, 12.50, 1423.48, 11, 0.00000647, 0.00000001, 1410.98, 200, 0.00000647, 0.00000001, 1806.06, 256, 1.00, 1.00, 0.99, 1.27, 1.00000000
22, 0.00001040, 0.00000001, 15.79, 1426.77, 13, 0.00001040, 0.00000001, 1410.98, 200, 0.00001039, 0.00000000, 4515.14, 640, 1.00, 1.00, 0.99, 3.16, 0.52246923
23, 0.00000725, 0.00000001, 15.16, 1426.14, 11, 0.00000725, 0.00000001, 1410.98, 200, 0.00000725, 0.00000001, 1806.06, 256, 1.00, 1.00, 0.99, 1.27, 1.00000000
24, 0.00000688, 0.00000000, 14.82, 1425.80, 11, 0.00000688, 0.00000000, 1410.98, 200, 0.00000688, 0.00000000, 1806.06, 256, 1.00, 1.00, 0.99, 1.27, 1.00000000
25, 0.00000666, 0.00000001, 16.50, 1427.48, 11, 0.00000666, 0.00000001, 1410.98, 200, 0.00000592, 0.00000000, 4063.63, 576, 1.00, 0.89, 0.99, 2.85, 0.00000003
26, 0.00000281, 0.00000000, 15.98, 919.01, 11, 0.00000281, 0.00000000, 903.03, 128, 0.00000281, 0.00000000, 903.03, 128, 1.00, 1.00, 0.98, 0.98, 1.00000000
